INPUT,/rˌed̪uːkˈɑːt̪is/,/rˌed̪ˈuːkun̪t̪/,/lˈeɡun̪t̪/,/bˈibun̪t̪/,/ˈeun̪t̪/,/ˌin̪d̪ˈuːkun̪t̪/,/kˌekid̪ˈist̪iː/,/kˌon̪d̪ˈuːkun̪t̪/,/kˈokwun̪t̪/,/fˌiːd̪ˈist̪iː/,/d̪ˌeːbˌuˈist̪is/,/d̪ˌeːbˌuˈissem/,/d̪ˌeːbˌuˈisseːs/,/d̪ˌeːbˌuˈissen̪t̪/,/d̪ˌeːbˌuˈisset̪/,/t̪rˈɑhun̪t̪/,/skrˈiːbun̪t̪/,/sˈed̪en̪t̪/,/prˌɑjd̪ikˈeːmus/,/prˈɑjd̪ikem/,/prˌɑjd̪ikˈeːt̪is/,/prˈɑjd̪ikeːs/,/prˈɑjd̪iken̪t̪/,/prˈɑjd̪iket̪/,/wˌiːd̪ˈist̪iː/
R0,,,,,,,,,,,,,,,,,,,,,,,,,
R1,,,,,,,,,,,,,,,,,,,,,,,,,
R2,,,,,,,,,,,,,,,,,,,,,,,,,
R3,,,,,,,,,,,,,,,,,,,,,,,,,
R4,,,,,,,,,,,,,,,,,,,,,,,,,
R5,,,,,,,,,,,,,,,,,,,,,,,,,
R6,,,,,,,,,*/kˈokɣʷun̪t̪/,,,,,,,,,,,,,,,,*/ɣʷˌiːd̪ˈist̪iː/
R7,,,,,,,,,*/kˈokwun̪t̪/,,,,,,,,,,,,,,,,
R8,,,,,,,,,,,,,,,,,,,,,,,,,
R9,,,,,,,,,,,,,,,,,,,,,,,,,
R10,,,,,,,,,,,,,,,,,,,,,,,,,
R11,,,,,,,,,,,,,,,,,,,,,,,,,
R12,,,,,,,,,,,,,,,,,,,,,,,,,
R13,,,,,,,,,,,,,,,,,,,,,,,,,
R14,,,,,,,,,,,,,,,,,,,,,,,,,
R15,*/rˌɛd̪uːkˈɑːt̪ɪs/,*/rˌɛd̪ˈuːkʊn̪t̪/,*/lˈɛɡʊn̪t̪/,*/bˈɪbʊn̪t̪/,*/ˈɛʊn̪t̪/,*/ˌɪn̪d̪ˈuːkʊn̪t̪/,*/kˌɛkɪd̪ˈɪst̪iː/,*/kˌɔn̪d̪ˈuːkʊn̪t̪/,*/kˈɔkwʊn̪t̪/,*/fˌiːd̪ˈɪst̪iː/,*/d̪ˌeːbˌʊˈɪst̪ɪs/,*/d̪ˌeːbˌʊˈɪssɛm/,*/d̪ˌeːbˌʊˈɪsseːs/,*/d̪ˌeːbˌʊˈɪssɛn̪t̪/,*/d̪ˌeːbˌʊˈɪssɛt̪/,*/t̪rˈɑhʊn̪t̪/,*/skrˈiːbʊn̪t̪/,*/sˈɛd̪ɛn̪t̪/,*/prˌɑjd̪ɪkˈeːmʊs/,*/prˈɑjd̪ɪkɛm/,*/prˌɑjd̪ɪkˈeːt̪ɪs/,*/prˈɑjd̪ɪkeːs/,*/prˈɑjd̪ɪkɛn̪t̪/,*/prˈɑjd̪ɪkɛt̪/,*/ɣʷˌiːd̪ˈɪst̪iː/
R16,,,,,,,,,,,,,,,,*/t̪rˈɑʊn̪t̪/,,,,,,,,,
R17,,,,,,,,,,,,,,,,,*/ˌɪskrˈiːbʊn̪t̪/,,,,,,,,
R18,,,,,,,,,,,,,,,,,,,,,,,,,
R19,,,,,,,,,,,,,,,,,,,,,,,,,
R20,,,,,,,,,,,,,,,,,,,,,,,,,
R21,,,,,,,,,,,,,,,,,,,,,,,,,
R22,,,,,,,,,,,,,,,,,,,,,,,,,
R23,,,,,,,,,,,,,,,,,,,,,,,,,
R24,,,,,,,,,,,,,,,,,,,,,,,,,
R25,*/rˌɛd̪ɪkˈɑːt̪ɪs/,,,,,,,,,,,,,,,,,,,,,,,,
R26,,,,,,,,,,,,,,,,,,,,,,,,,
R27,,,,,,,,,,,,,,,,,,,,,,,,,
R28,,,,,,,,,,,,,,,,,,,,,,,,,
R29,,,,,,,,,,,,,,,,,,,,,,,,,
R30,,,,,,,,,,,,,,,,,,,,,,,,,
R31,,,,,,,,,,,,,,,,,,,,,,,,,
R32,,,,,,,,,,,,,,,,,,,,,,,,,
R33,,,,,,,,,*/kˈɔkʊn̪t̪/,,,,,,,,,,,,,,,,
R34,,,,,,,,,,,,,,,,,,,,,,,,,
R35,,,,,,,,,,,,,,,,,,,,,,,,,
