Trajectory file for run 'run0'; etymon number :1052:
#sˌɑːn̪kt̪it̪ˈɑːt̪em# >>> #sɛ̃ːt̪jɛ# ( Correct : #sɛ̃t̪ət̪e#) :
s ˌɑː n̪ k t̪ i t̪ ˈɑː t̪ e m 
#sˌɑːŋkt̪it̪ˈɑːt̪em# | Rule 0 : n̪ > ŋ / __ [+hi,+back,-cont]
#sˌɑːŋkt̪ɪt̪ˈɑːt̪ɛm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#sˌɑŋkt̪ɪt̪ˈɑt̪ɛm# | Rule 45 : [+syl,+long] > [-long,-splng] 
#sˌɑŋt̪ɪt̪ˈɑt̪ɛm# | Rule 48 : k > ∅ / ŋ __ [+cor,-voi]
#sˌɑŋt̪et̪ˈɑt̪ɛm# | Rule 54 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#sˌɑŋt̪et̪ˈɑt̪ɛ# | Rule 59 : m > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#sˌɑŋt̪et̪ˈɑːt̪ɛ# | Rule 78 : [+prim] > [+long] / __ [+cons] [-cons]
#sˌaŋt̪et̪ˈaːt̪ɛ# | Rule 146 : [+lo,+syl] > [+front,-back] 
#sˌaɲt̪et̪ˈaːt̪ɛ# | Rule 156 : ŋ > ɲ / __ [+ant,+distr]
#sˌaɲt̪ʲet̪ˈaːt̪ɛ# | Rule 160 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#sˌaɲt̪ʲet̪ˈɛːt̪ɛ# | Rule 196 : ˈaː > ˈɛː 
#sˌaɲt̪ʲet̪ˈie̯t̪ɛ# | Rule 197 : {ˈɛː;ˈɔː} > {ˈi e̯;ˈu o̯} 
#sˌaɲt̪ʲət̪ˈie̯t̪ə# | Rule 213 : [-stres,-lo,+syl] > ə 
#sˌaɲt̪ʲə̯t̪ˈie̯t̪ə̯# | Rule 214 : ə > ə̯ 
#sˌaɲt̪ʲt̪ˈie̯t̪# | Rule 226 : ə̯ > ∅ 
#sˌaɲt̪ʲt̪ʲˈie̯t̪# | Rule 229 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#sˌaɲt̪ʲt̪ʲˈiːe̯t̪# | Rule 244 : [+prim] > [+long] / __ [-cons]
#sˌaɲt̪ʲt̪ʲˈie̯t̪# | Rule 248 : [+syl] > [-long,-splng] / __ e̯
#sˌaɲt̪t̪ˈie̯t̪# | Rule 270 : {t̪ʲ;d̪ʲ;sʲ;zʲ;rʲ;n̪ʲ} > {t̪;d̪;s;z;r;n̪} / [+hi,+front,-syl] __ 
#sˌaɲt̪t̪ˈiːe̯t̪# | Rule 278 : [+prim] > [+long] / __ [-cons]
#sˌaɲt̪t̪ˈie̯t̪# | Rule 282 : [+syl] > [-long,-splng] / __ e̯
#sˌajn̪t̪t̪ˈie̯t̪# | Rule 307 : ɲ > j n̪ / __ [+cons]
#sˌajn̪t̪ˈie̯t̪# | Rule 332 : [+cons] > ∅ / [+cons] __ [-son]
#sˌaj̃n̪t̪ˈie̯t̪# | Rule 364 : j > j̃ / [+lo,+syl] __ [+nas,-syl]
#sˌãj̃n̪t̪ˈie̯t̪# | Rule 365 : [+lo,+syl] > [+nas,+son,.delrel] / __ [+nas,-syl]
#sˌãj̃n̪t̪jˈet̪# | Rule 415 : {ˈi e̯;ˌɛ a̯;ˈɛ a̯;ˈy ø̯} > {j ˈe;e̯ ˌa;e̯ ˈa;ɥ ˈø} 
#sˌãj̃n̪t̪jˈɛt̪# | Rule 417 : ˈe > ˈɛ / __ @
#sˌɛ̃j̃n̪t̪jˈɛt̪# | Rule 420 : [+lo,+nas] > [-lo,-tense,-cons,-lat,+cont,.delrel] / __ j̃
#sˌɛ̃n̪t̪jˈɛt̪# | Rule 462 : j̃ > ∅ / [+nas,+front,-tense] __ 
#sˌɛ̃ːt̪jˈɛt̪# | Rule 466 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#sˌɛ̃ːt̪jˈɛ# | Rule 540 : [-son] > ∅ / __ #
#sɛ̃ːt̪jɛ# | Rule 552 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
