Trajectory file for run 'run0'; etymon number :1168:
#t̪ˌɑksoːn̪ˈɑːriɑm# >>> #t̪ɛːʀn̪iwjʀ# ( Correct : #t̪an̪jɛʁ#) :
t̪ ˌɑ k s oː n̪ ˈɑː r i ɑ m 
#t̪ˌɑksoːn̪ˈɑːrɪɑm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#t̪ˌɑksoːn̪ˈɑːrjɑm# | Rule 24 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat,+cont,.delrel] / __ [+syl]
#t̪ˌɑksoːn̪ˈɑːrʝɑm# | Rule 27 : j > ʝ / __ [+syl]
#t̪ˌɑkson̪ˈɑːrʝɑm# | Rule 44 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#t̪ˌɑkson̪ˈɑrʝɑm# | Rule 45 : [+syl,+long] > [-long,-splng] 
#t̪ˌɑxson̪ˈɑrʝɑm# | Rule 50 : k > x / __ [+cor,-voi]
#t̪ˌɑxson̪ˈɑrʝɑ# | Rule 59 : m > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#t̪ˌɑxson̪ˈɑrʲɑ# | Rule 133 : r ʝ > rʲ 
#t̪ˌaxson̪ˈarʲa# | Rule 146 : [+lo,+syl] > [+front,-back] 
#t̪ˌaçson̪ˈarʲa# | Rule 155 : [+back,+hi,+cont,-son] > [-back,+front] / __ [+cor]
#t̪ˌaçsʲon̪ˈarʲa# | Rule 160 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#t̪ˌaçsʲon̪ˈaːrʲa# | Rule 169 : [+prim] > [+long] / __ [+cons] [+syl]
#t̪ˌaçsʲon̪ˈɛːrʲa# | Rule 196 : ˈaː > ˈɛː 
#t̪ˌaçsʲon̪ˈie̯rʲa# | Rule 197 : {ˈɛː;ˈɔː} > {ˈi e̯;ˈu o̯} 
#t̪ˌaçsʲən̪ˈie̯rʲa# | Rule 213 : [-stres,-lo,+syl] > ə 
#t̪ˌaçsʲə̯n̪ˈie̯rʲa# | Rule 214 : ə > ə̯ 
#t̪ˌaçsʲn̪ˈie̯rʲa# | Rule 226 : ə̯ > ∅ 
#t̪ˌaçsʲn̪ʲˈie̯rʲa# | Rule 229 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#t̪ˌaçsʲn̪ʲˈiːe̯rʲa# | Rule 244 : [+prim] > [+long] / __ [-cons]
#t̪ˌaçsʲn̪ʲˈie̯rʲa# | Rule 248 : [+syl] > [-long,-splng] / __ e̯
#t̪ˌaçsʲn̪ʲˈie̯rʲɛ# | Rule 254 : [+lo,+syl] > [-lo,+front,-tense,-cons,-lat,+cont,.delrel] / [+front,+cons] __ #
#t̪ˌaçsn̪ˈie̯rʲɛ# | Rule 270 : {t̪ʲ;d̪ʲ;sʲ;zʲ;rʲ;n̪ʲ} > {t̪;d̪;s;z;r;n̪} / [+hi,+front,-syl] __ 
#t̪ˌaçsn̪ˈie̯jrɛ# | Rule 271 : {t̪ʲ;d̪ʲ;sʲ;zʲ;rʲ;n̪ʲ} > {j t̪;j d̪;j s;j z;j r;j n̪} 
#t̪ˌaçsn̪ˈiːe̯jrɛ# | Rule 278 : [+prim] > [+long] / __ [-cons]
#t̪ˌaçsn̪ˈie̯jrɛ# | Rule 282 : [+syl] > [-long,-splng] / __ e̯
#t̪ˌaçsn̪ˈie̯jrə# | Rule 290 : [-stres,-lo,+syl] > ə 
#t̪ˌaçsn̪ˈie̯jr# | Rule 300 : ə > ∅ 
#t̪ˌaʝsn̪ˈie̯jr# | Rule 323 : ç > ʝ 
#t̪ˌajsn̪ˈie̯jr# | Rule 324 : ʝ > j / [-cons] __ 
#t̪ˌajzn̪ˈie̯jr# | Rule 336 : s > z / __ [+voi,+cons]
#t̪ˌajðn̪ˈie̯jr# | Rule 356 : z > ð / __ [+cor,+ant,+distr,+voi,+cons]
#t̪ˌajðn̪ˈio̯jr# | Rule 377 : [+front,+tense,-hi,-lo] > [+back,-front,+round,+lab] / __ j
#t̪ˌajðn̪ˈiwjr# | Rule 385 : [+round,+tense,+back] > [+hi] 
#t̪ˌajrn̪ˈiwjr# | Rule 402 : ð > r / __ n̪
#t̪ˌɛjrn̪ˈiwjr# | Rule 418 : [+lo,+syl] > [-lo,-tense,-cons,-lat,+cont,.delrel] / __ j [+cons]
#t̪ˌɛːrn̪ˈiwjr# | Rule 443 : {ˌɛ j;ˌɛː j;ˈɛ j;ˈɛː j} > {ˌɛː;ˌɛː;ˈɛː;ˈɛː} / __ [+cons]
#t̪ˌɛːrn̪ˈiwjɹ# | Rule 535 : r > ɹ / [-cons] __ #
#t̪ˌɛːɹn̪ˈiwjɹ# | Rule 536 : r > ɹ / [-cons] __ [+cons]
#t̪ˌɛːrn̪ˈiwjr# | Rule 549 : ɹ > r 
#t̪ˌɛːʀn̪ˈiwjʀ# | Rule 551 : r > ʀ 
#t̪ɛːʀn̪iwjʀ# | Rule 552 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
