Trajectory file for run 'run0'; etymon number :679:
#mˌen̪t̪iˈoːn̪ikɑm# >>> #mie̯?sœ̃ː# ( Correct : #mɑ̃sɔ̃ʒ#) :
m ˌe n̪ t̪ i ˈoː n̪ i k ɑ m 
#mˌɛn̪t̪ɪˈoːn̪ɪkɑm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#mˌɛn̪t̪jˈoːn̪ɪkɑm# | Rule 24 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat,+cont,.delrel] / __ [+syl]
#mˌɛn̪t̪ʝˈoːn̪ɪkɑm# | Rule 27 : j > ʝ / __ [+syl]
#mˌɛ?t̪ʝˈoːn̪ɪkɑm# | Rule 36 : [+ant,+cons] > [-voi] / __ t̪
#mˌɛ?t̪ʝˈon̪ɪkɑm# | Rule 44 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#mˌɛ?t̪ʝˈon̪ekɑm# | Rule 54 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#mˌɛ?t̪ʝˈon̪ekɑ# | Rule 59 : m > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#mˌɛ?t͡sʲʝˈon̪ekɑ# | Rule 62 : {t̪;d̪} > {t͡sʲ;ɟ} / __ [+hi,+front,-syl,+cont]
#mˌɛ?t͡sʲˈon̪ekɑ# | Rule 67 : ʝ > ∅ / [-cont,+hi,+front] __ 
#mˌɛ?t͡sʲˈoːn̪ekɑ# | Rule 78 : [+prim] > [+long] / __ [+cons] [-cons]
#mˌɛ?t͡sʲˈoːn̪kɑ# | Rule 99 : e > ∅ / __ k ɑ #
#mˌɛ?t͡sʲˈon̪kɑ# | Rule 112 : [+syl] > [-long,-splng] / __ [+cons] [+cons,-son]
#mˌɛ?t͡sʲˈũn̪kɑ# | Rule 126 : [+round,+tense,-hi,+stres] > [+hi,+nas,+son,.delrel] / __ [+nas,+cons]
#mˌɛ?t͡sʲˈũn̪ka# | Rule 146 : [+lo,+syl] > [+front,-back] 
#mˌie̯?t͡sʲˈũn̪ka# | Rule 180 : {ɛ;ˌɛ;ˈɛ;ˈɛː;ɔ;ˌɔ;ˈɔ;ˈɔː} > {i e̯;ˌi e̯;ˈi e̯;ˈi e̯;u o̯;ˌu o̯;ˈu o̯;ˈu o̯} / __ [+cons,+cor] [+cons,+hi,+front]
#mˌie̯?t͡sʲˈũn̪kʲa# | Rule 181 : [+hi,+back,+cons] > [+front] / __ [+front,+syl]
#mˌie̯?t͡sʲˈʉ̃n̪kʲa# | Rule 198 : [+hi,+tense,+round,+syl] > [-front,-back] 
#mˌie̯?t͡sʲˈʉ̃n̪ca# | Rule 201 : [+back,+front] > [-back] 
#mˌie̯?t͡sʲˈʉ̃n̪t͡ʃa# | Rule 209 : [+hi,+front,-cont,-ant] > [+delrel,+cor,-hi,+strid,+distr,-son] 
#mˌie̯?t͡sʲˈʉ̃n̪t͡ʃɛ# | Rule 254 : [+lo,+syl] > [-lo,+front,-tense,-cons,-lat,+cont,.delrel] / [+front,+cons] __ #
#mˌie̯?t͡sʲˈʉ̃n̪t͡ʃə# | Rule 290 : [-stres,-lo,+syl] > ə 
#mˌie̯?t͡sʲˈʉ̃n̪t͡ʃ# | Rule 300 : ə > ∅ 
#mˌie̯?t͡sˈʉ̃n̪t͡ʃ# | Rule 358 : t͡sʲ > t͡s 
#mˌie̯?t͡sˈỹn̪t͡ʃ# | Rule 363 : [+hi,+round,-back] > [+front] 
#mˌie̯?sˈỹn̪ʃ# | Rule 450 : [+delrel] > [+cont,.delrel] 
#mˌie̯?sˈỹːʃ# | Rule 466 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#mˌie̯?sˈœ̃ːʃ# | Rule 532 : [+front,+round,+nas,+syl] > [-tense,-hi,-cons,-lat,+cont,.delrel] 
#mˌie̯?sˈœ̃ː# | Rule 540 : [-son] > ∅ / __ #
#mie̯?sœ̃ː# | Rule 552 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
