Trajectory file for run 'run0'; etymon number :857:
#pˌerpet̪ˈɑːn̪eum# >>> #paʀt̪jɛ̃ː# ( Correct : #paʁpɛ̃#) :
p ˌe r p e t̪ ˈɑː n̪ e u m 
#pˌɛrpɛt̪ˈɑːn̪ɛʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#pˌɛrpɛt̪ˈɑːn̪jʊm# | Rule 24 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat,+cont,.delrel] / __ [+syl]
#pˌɛrpɛt̪ˈɑːn̪ʝʊm# | Rule 27 : j > ʝ / __ [+syl]
#pˌɛrpɛt̪ˈɑn̪ʝʊm# | Rule 45 : [+syl,+long] > [-long,-splng] 
#pˌɛrpɛt̪ˈɑn̪ʝom# | Rule 54 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#pˌɛrpɛt̪ˈɑn̪ʝo# | Rule 59 : m > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#pˌɛrpɛt̪ˈɑɲo# | Rule 68 : [+nas,+cor] [+hi,+front,-syl,+voi,+cont] > ɲ
#pˌɛrpɛt̪ˈɑːɲo# | Rule 78 : [+prim] > [+long] / __ [+cons] [-cons]
#pˌɛrpɛt̪ˈaːɲo# | Rule 146 : [+lo,+syl] > [+front,-back] 
#pˌɛrpɛt̪ˈɛːɲo# | Rule 196 : ˈaː > ˈɛː 
#pˌɛrpɛt̪ˈie̯ɲo# | Rule 197 : {ˈɛː;ˈɔː} > {ˈi e̯;ˈu o̯} 
#pˌɛrpət̪ˈie̯ɲə# | Rule 213 : [-stres,-lo,+syl] > ə 
#pˌɛrpə̯t̪ˈie̯ɲə̯# | Rule 214 : ə > ə̯ 
#pˌɛrpt̪ˈie̯ɲ# | Rule 226 : ə̯ > ∅ 
#pˌɛrt̪t̪ˈie̯ɲ# | Rule 230 : [+lab,-nas,-round,+cons] > t̪ / __ [-cont,+cor,-voi]
#pˌɛrt̪ˈie̯ɲ# | Rule 234 : {s s;d̪ d̪;t̪ t̪;m m} > {s;d̪;t̪;m} / [+cons] __ 
#pˌɛrt̪ˈiːe̯ɲ# | Rule 244 : [+prim] > [+long] / __ [-cons]
#pˌɛrt̪ˈie̯ɲ# | Rule 248 : [+syl] > [-long,-splng] / __ e̯
#pˌɛrt̪ˈiːe̯ɲ# | Rule 278 : [+prim] > [+long] / __ [-cons]
#pˌɛrt̪ˈie̯ɲ# | Rule 282 : [+syl] > [-long,-splng] / __ e̯
#pˌɨrt̪ˈie̯ɲ# | Rule 292 : {ˌɛ r;ˌɛ ɫ;ˌɔ ɫ} > {ˌɨ r;ˌɨ ɫ;ˌɯ ɫ} / __ [+cons]
#pˌɛrt̪ˈie̯ɲ# | Rule 293 : {ˌɛ;ˌɔ;ˌɨ;ˌɯ} > {ˌe;ˌo;ˌɛ;ˌɔ} 
#pˌɛrt̪ˈie̯j̃ɲ# | Rule 388 : ∅ > j̃ / [-round,-hi,-lo,+tense,+front] __ ɲ #
#pˌɛrt̪jˈej̃ɲ# | Rule 415 : {ˈi e̯;ˌɛ a̯;ˈɛ a̯;ˈy ø̯} > {j ˈe;e̯ ˌa;e̯ ˈa;ɥ ˈø} 
#pˌɛrt̪jˈɛj̃ɲ# | Rule 417 : ˈe > ˈɛ / __ @
#pˌɛrt̪jˈɛ̃j̃ɲ# | Rule 426 : [+syl,-hi] > [+nas,+son,.delrel] / __ [+nas]
#pˌɛrt̪jˈɛ̃j̃n̪# | Rule 449 : ɲ > n̪ / __ #
#pˌɛrt̪jˈɛ̃n̪# | Rule 462 : j̃ > ∅ / [+nas,+front,-tense] __ 
#pˌart̪jˈɛ̃n̪# | Rule 463 : {ɛ;ˌɛ;ˈɛ} > {a;ˌa;ˈa} / __ r
#pˌart̪jˈɛ̃ː# | Rule 467 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ #
#pˌaɹt̪jˈɛ̃ː# | Rule 536 : r > ɹ / [-cons] __ [+cons]
#pˌart̪jˈɛ̃ː# | Rule 549 : ɹ > r 
#pˌaʀt̪jˈɛ̃ː# | Rule 551 : r > ʀ 
#paʀt̪jɛ̃ː# | Rule 552 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
