Trajectory file for run 'run1'; etymon number :1020:
#rˌiwuskˈellum# >>> #ʁəvwassɛl# ( Correct : #ʁɥiso#) :
r ˌi w u s k ˈe l l u m 
#rˌiɣʷuskˈellum# | Rule 4 : {j;w} > {ʝ;ɣʷ} / __ [+syl]
#rˌɪɣʷʊskˈɛllʊm# | Rule 12 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#rˌɪβʷʊskˈɛllʊm# | Rule 38 : ɣʷ > βʷ 
#rˌeβʷoskˈɛllom# | Rule 52 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#rˌeβʷoskˈɛllo# | Rule 57 : m > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#rˌeβʷoskʲˈɛllo# | Rule 62 : [+hi,+back,-cont] > [+front] / __ [+cont,-lo,+front]
#rˌeβʷoscˈɛllo# | Rule 63 : [+back,+front] > [-back] 
#rˌeβoscˈɛllo# | Rule 101 : βʷ > β 
#rˌeβosʲcˈɛllo# | Rule 107 : {ŋ;ɫ;s} > {ɲ;lʲ;sʲ} / __ [-cont,+hi,+front]
#rˌeβosʲt͡sʲˈɛllo# | Rule 140 : {c;ɟ} > {t͡sʲ;d͡ʒ} 
#rˌeβəsʲt͡sʲˈɛllə# | Rule 203 : [-stres,-lo,+syl] > ə 
#rˌeβə̯sʲt͡sʲˈɛllə̯# | Rule 204 : ə > ə̯ 
#rˌeβəsʲt͡sʲˈɛllə̯# | Rule 207 : ə̯ > ə / __ [+front,+cons]
#rˌeβəsʲt͡sʲˈɛll# | Rule 216 : ə̯ > ∅ 
#rˌeβəjst͡sʲˈɛll# | Rule 259 : {t̪ʲ;d̪ʲ;sʲ;zʲ;rʲ} > {j t̪;j d̪;j s;j z;j r} 
#rˌevəjst͡sʲˈɛll# | Rule 282 : β > v 
#rˌevəjst͡sʲˈɛl# | Rule 336 : {p p;b b;f f;m m;t̪ t̪;t̪ t͡s;t̪ t͡sʲ;t̪ t͡ʃ;d̪ d̪;d̪ d͡ʒ;n̪ n̪;s s;z z;l l;k k;ɡ ɡ} > {p;b;f;m;t̪;t͡s;t͡sʲ;t͡ʃ;d̪;d͡ʒ;n̪;s;z;l;k;ɡ} 
#rˌevejst͡sʲˈɛl# | Rule 346 : ə > e / __ [+front,+son,+hi,-syl]
#rˌevejst͡sˈɛl# | Rule 347 : t͡sʲ > t͡s 
#rˌəvejst͡sˈɛl# | Rule 358 : ˌe > ˌə / __ ( [+cons] ) [-cons]
#rˌəvojst͡sˈɛl# | Rule 367 : [+front,+tense,-hi,-lo,+syl] > [+back,-front,+round,+lab] / __ j
#rˌəvujst͡sˈɛl# | Rule 371 : [+round,+tense,+back] > [+hi] 
#rˌəvuɛ̯st͡sˈɛl# | Rule 413 : j > ɛ̯ / [+syl,+back,+round] __ 
#rˌəvwɛst͡sˈɛl# | Rule 416 : {u ɛ̯;ˌu ɛ̯;ˈu ɛ̯;ɔ ɛ̯;ˌɔ ɛ̯;ˈɔ ɛ̯} > {w ɛ;w ˌɛ;w ˈɛ;w ɛ;w ˌɛ;w ˈɛ} 
#rˌəvwɛssˈɛl# | Rule 431 : [+delrel] > [+cont,.delrel] 
#ʀˌəvwɛssˈɛl# | Rule 518 : r > ʀ 
#ʀəvwɛssɛl# | Rule 519 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#ʀəvwassɛl# | Rule 524 : ɛ > a / w __ 
#ʁəvwassɛl# | Rule 526 : ʀ > ʁ 
