Trajectory file for run 'run1'; etymon number :1054:
#sˌɑːn̪kt̪it̪ˈɑːt̪em# >>> #sɛ̃t̪jɛ# ( Correct : #sɛ̃t̪ət̪e#) :
s ˌɑː n̪ k t̪ i t̪ ˈɑː t̪ e m 
#sˌɑːŋkt̪it̪ˈɑːt̪em# | Rule 0 : n̪ > ŋ / __ [+hi,+back,-cont]
#sˌɑːŋkt̪ɪt̪ˈɑːt̪ɛm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#sˌɑŋkt̪ɪt̪ˈɑt̪ɛm# | Rule 54 : [+syl,+long] > [-long,-splng] 
#sˌɑŋt̪ɪt̪ˈɑt̪ɛm# | Rule 57 : k > ∅ / ŋ __ [+cor,-voi]
#sˌɑŋt̪et̪ˈɑt̪ɛm# | Rule 63 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#sˌɑŋt̪et̪ˈɑt̪ɛ# | Rule 68 : [+nas,+cons] > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#sˌɑŋt̪et̪ˈɑːt̪ɛ# | Rule 105 : [+prim] > [+long] / __ [+cons] [-cons]
#sˌɑŋt̪t̪ˈɑːt̪ɛ# | Rule 180 : [+front,+tense,-lo,-stres] > ∅ / __ t̪ [+lo,+long]
#sˌaŋt̪t̪ˈaːt̪ɛ# | Rule 183 : [+lo,+syl] > [+front,-back] 
#sˌaŋt̪ˈaːt̪ɛ# | Rule 189 : {n̪ n̪;s s;d̪ d̪;t̪ t̪;w w;m m} > {n̪;s;d̪;t̪;w;m} / [+cons] __ 
#sˌaɲt̪ˈaːt̪ɛ# | Rule 196 : ŋ > ɲ / __ [+ant,+distr]
#sˌaɲt̪ʲˈaːt̪ɛ# | Rule 201 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#sˌaɲt̪ʲˈɛːt̪ɛ# | Rule 226 : ˈaː > ˈɛː / [+cons,+front] __ [+cons,-front,-nas]
#sˌaɲt̪ʲˈie̯t̪ɛ# | Rule 228 : {ˈɛː;ˈɔː} > {ˈi e̯;ˈu o̯} 
#sˌaɲt̪ʲˈie̯t̪ə# | Rule 252 : [-stres,-lo,+syl] > ə / __ #
#sˌaɲt̪ʲˈie̯t̪ə̯# | Rule 254 : ə > ə̯ 
#sˌaɲt̪ʲˈie̯t̪# | Rule 283 : ə̯ > ∅ 
#sˌaɲt̪ˈie̯t̪# | Rule 363 : {t̪ʲ;d̪ʲ;sʲ;zʲ;n̪ʲ;d͡zʲ} > {t̪;d̪;s;z;n̪;d͡z} / [+hi,+front,-syl] __ 
#sˌaɲt̪ˈie̯θ# | Rule 392 : [-cont,-delrel] > [+cont,.delrel] / [-cons] __ #
#sˌajn̪t̪ˈie̯θ# | Rule 399 : ɲ > j n̪ / __ [+cons]
#sˌaj̃n̪t̪ˈie̯θ# | Rule 460 : j > j̃ / [+lo,+syl] __ [+nas,-syl]
#sˌãj̃n̪t̪ˈie̯θ# | Rule 461 : [+lo,+syl] > [+nas,+son,.delrel] / __ [+nas,-syl]
#sˌãj̃n̪t̪ˈie̯# | Rule 504 : {θ;ð} > {∅;∅} 
#sˌãj̃n̪t̪jˈe# | Rule 508 : {ˈi e̯;ˌɛ a̯;ˈɛ a̯;ˈy ø̯} > {j ˈe;e̯ ˌa;e̯ ˈa;ɥ ˈø} 
#sˌɛ̃j̃n̪t̪jˈe# | Rule 512 : [+lo,+nas] > [-lo,-tense,-cons,-lat,+cont,.delrel] / __ j̃
#sˌɛ̃j̃n̪t̪jˈɛ# | Rule 547 : ˈe > ˈɛ 
#sˌɛ̃n̪t̪jˈɛ# | Rule 551 : j̃ > ∅ / [+nas,+front,-tense] __ 
#sˌɛ̃ːt̪jˈɛ# | Rule 597 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#sɛ̃ːt̪jɛ# | Rule 629 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#sɛ̃t̪jɛ# | Rule 630 : [+syl,+long] > [-long,-splng] 
