Trajectory file for run 'run1'; etymon number :1059:
#sˌɑːn̪kt̪it̪ˈɑːt̪em# >>> #sɛ̃t̪e# ( Correct : #sɛ̃t̪ət̪e#) :
s ˌɑː n̪ k t̪ i t̪ ˈɑː t̪ e m 
#sˌɑːŋkt̪it̪ˈɑːt̪em# | Rule 0 : n̪ > ŋ / __ [+hi,+back,-cont]
#sˌɑːŋkt̪ɪt̪ˈɑːt̪ɛm# | Rule 14 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,0delrel] 
#sˌɑŋkt̪ɪt̪ˈɑt̪ɛm# | Rule 59 : [+syl,+long] > [-long,-splng] 
#sˌɑŋt̪ɪt̪ˈɑt̪ɛm# | Rule 62 : k > ∅ / ŋ __ [+cor,-voi]
#sˌɑŋt̪et̪ˈɑt̪ɛm# | Rule 70 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,0delrel] 
#sˌɑŋt̪et̪ˈɑt̪ɛ# | Rule 75 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#sˌɑŋt̪et̪ˈɑːt̪ɛ# | Rule 117 : [+prim] > [+long] / __ [+cons] [-cons]
#sˌɑɲt̪et̪ˈɑːt̪ɛ# | Rule 180 : ŋ > ɲ / __ [+cor]
#sˌɑɲt̪t̪ˈɑːt̪ɛ# | Rule 201 : [+front,+tense,-lo,-stres] > ∅ / __ t̪ [+lo,+long]
#sˌaɲt̪t̪ˈaːt̪ɛ# | Rule 206 : [+lo,+syl] > [+front,-back] 
#sˌaɲt̪ˈaːt̪ɛ# | Rule 213 : {n̪ n̪;s s;d̪ d̪;t̪ t̪;w w;m m} > {n̪;s;d̪;t̪;w;m} / [+cons] __ 
#sˌaɲt̪ʲˈaːt̪ɛ# | Rule 223 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#sˌaɲt̪ʲˈɛːt̪ɛ# | Rule 250 : ˈaː > ˈɛː / [+cons,+front] __ [+cons,-front,-nas]
#sˌaɲt̪ʲˈie̯t̪ɛ# | Rule 252 : {ˈɛː;ˈɔː} > {ˈi e̯;ˈu o̯} 
#sˌaɲt̪ʲˈie̯t̪ə# | Rule 276 : [-stres,-lo,+syl] > ə / __ #
#sˌaɲt̪ʲˈie̯t̪ə̯# | Rule 278 : ə > ə̯ 
#sˌaɲt̪ʲˈie̯t̪# | Rule 312 : ə̯ > ∅ 
#sˌaɲt̪ˈie̯t̪# | Rule 398 : {t̪ʲ;d̪ʲ;sʲ;zʲ;n̪ʲ;d͡zʲ} > {t̪;d̪;s;z;n̪;d͡z} / [+hi,+front,-syl] __ 
#sˌaɲt̪ʲˈie̯t̪# | Rule 400 : {t̪;d̪;s} > {t̪ʲ;d̪ʲ;sʲ} / [-syl,+hi,+front,+cont,-strid] __ [+hi,+front,+cont]
#sˌaɲt̪ʲˈie̯θ# | Rule 445 : [-cont,-delrel] > [+cont,0delrel] / [-cons] __ #
#sˌaj̃n̪t̪ʲˈie̯θ# | Rule 450 : ɲ > j̃ n̪ / __ [+cons]
#sˌãj̃n̪t̪ʲˈie̯θ# | Rule 511 : [+lo,+syl] > [+nas,+son,0delrel] / __ [+nas,-syl]
#sˌɛ̃j̃n̪t̪ʲˈie̯θ# | Rule 590 : [+lo,+nas] > [-lo,-tense,-cons,-lat,+cont,0delrel] / __ j̃
#sˌɛ̃j̃n̪t̪ʲjˈeθ# | Rule 598 : {ˈi e̯;ˌɛ a̯;ˈɛ a̯;ˈy ø̯} > {j ˈe;e̯ ˌa;e̯ ˈa;ɥ ˈø} 
#sˌɛ̃j̃n̪t̪ʲjˈe# | Rule 610 : {θ;ð} > {∅;∅} 
#sˌɛ̃n̪t̪ʲjˈe# | Rule 665 : j̃ > ∅ / [+nas,+front,-tense] __ 
#sˌɛ̃ːt̪ʲjˈe# | Rule 668 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#sˌɛ̃ːt̪ʲˈe# | Rule 672 : j > ∅ / [+front,+cons] __ [+front,-hi,-lo,-round,+syl,-nas]
#sˌɛ̃ːt̪ˈe# | Rule 673 : {sʲ;d̪ʲ;t̪ʲ} > {s;d̪;t̪} 
#sɛ̃ːt̪e# | Rule 753 : [+stres] > [-stres,-prim,+syl,+son,0delrel] 
#sɛ̃t̪e# | Rule 754 : [+syl,+long] > [-long,-splng] 
