Trajectory file for run 'run1'; etymon number :1163:
#t̪ˌɑksoːn̪ˈɑːriɑm# >>> #t̪ɛn̪ʲijʁ# ( Correct : #t̪an̪jɛʁ#) :
t̪ ˌɑ k s oː n̪ ˈɑː r i ɑ m 
#t̪ˌɑksoːn̪ˈɑːrɪɑm# | Rule 14 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#t̪ˌɑksoːn̪ˈɑːrjɑm# | Rule 23 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat,+cont,.delrel] / __ [+syl]
#t̪ˌɑksoːn̪ˈɑːrʝɑm# | Rule 26 : j > ʝ / __ [+syl]
#t̪ˌɑkson̪ˈɑːrʝɑm# | Rule 49 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#t̪ˌɑkson̪ˈɑrʝɑm# | Rule 50 : [+syl,+long] > [-long,-splng] 
#t̪ˌɑxson̪ˈɑrʝɑm# | Rule 55 : k > x / [-cons] __ [+cor,-voi]
#t̪ˌɑxson̪ˈɑrʝɑ# | Rule 64 : [+nas,+cons] > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#t̪ˌɑxson̪ˈɑrʲɑ# | Rule 143 : r ʝ > rʲ 
#t̪ˌaxson̪ˈarʲa# | Rule 162 : [+lo,+syl] > [+front,-back] 
#t̪ˌaçson̪ˈarʲa# | Rule 170 : [+back,+hi,+cont,-son] > [-back,+front] / __ [+cor]
#t̪ˌaçsʲon̪ˈarʲa# | Rule 175 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#t̪ˌaçsʲon̪ˈaːrʲa# | Rule 188 : [+prim] > [+long] / __ [+cons] [+syl]
#t̪ˌaçsʲən̪ˈaːrʲa# | Rule 216 : [+syl,-stres,-lo] > ə / __ ( [-syl] )* [+syl,+lo,+prim]
#t̪ˌaçsʲə̯n̪ˈaːrʲa# | Rule 218 : ə > ə̯ 
#t̪ˌaçsʲn̪ˈaːrʲa# | Rule 231 : ə̯ > ∅ 
#t̪ˌaçsʲn̪ʲˈaːrʲa# | Rule 234 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#t̪ˌaçsʲn̪ʲˈɛːrʲa# | Rule 256 : [+lo,+syl] > [-lo,+front,-tense,-cons,-lat,+cont,.delrel] / [+front,+cons] __ [+cons] [-cons]
#t̪ˌaçsʲn̪ʲˈie̯rʲa# | Rule 258 : {ˈɛː;ˈɔː} > {ˈi e̯;ˈu o̯} 
#t̪ˌaçjsn̪ʲˈie̯jra# | Rule 270 : {t̪ʲ;d̪ʲ;sʲ;zʲ;rʲ} > {j t̪;j d̪;j s;j z;j r} 
#t̪ˌaçsn̪ʲˈie̯jra# | Rule 271 : j > ∅ / [+hi,+front,-syl] __ [-syl]
#t̪ˌaçsn̪ʲˈie̯jrə# | Rule 295 : a > ə / [+syl] ( [-syl] )* __ 
#t̪ˌaʝsn̪ʲˈie̯jrə# | Rule 313 : ç > ʝ 
#t̪ˌajsn̪ʲˈie̯jrə# | Rule 315 : ʝ > j / [-cons] __ 
#t̪ˌajzn̪ʲˈie̯jrə# | Rule 325 : s > z / __ [+voi,+cons]
#t̪ˌajðn̪ʲˈie̯jrə# | Rule 345 : z > ð / __ [+cor,+ant,+distr,+voi,+cons]
#t̪ˌajðn̪ʲˈijrə# | Rule 378 : e̯ > ∅ / [+hi,+tense,+syl,+prim] __ j
#t̪ˌajn̪ʲˈijrə# | Rule 403 : {θ;ð} > {∅;∅} 
#t̪ˌɛjn̪ʲˈijrə# | Rule 409 : [+lo,+syl] > [-lo,-tense,-cons,-lat,+cont,.delrel] / __ j [+cons]
#t̪ˌɛːn̪ʲˈijrə# | Rule 434 : {ˌɛ j;ˌɛː j;ˈɛ j;ˈɛː j} > {ˌɛː;ˌɛː;ˈɛː;ˈɛː} / __ [+cons]
#t̪ˌɛ̃ːn̪ʲˈijrə# | Rule 443 : [+syl,-hi] > [+nas,+son,.delrel] / __ [+nas,+cons]
#t̪ˌɛ̃ːn̪ʲˈijrə̯# | Rule 510 : ə > ə̯ / __ #
#t̪ˌɛ̃ːn̪ʲˈijr# | Rule 517 : ə̯ > ∅ 
#t̪ˌɛːn̪ʲˈijr# | Rule 520 : [+front,-round,+syl,+nas] > [-nas] / __ [+cons,+nas] [-cons]
#t̪ˌɛːn̪ʲˈijʀ# | Rule 527 : r > ʀ 
#t̪ɛːn̪ʲijʀ# | Rule 528 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#t̪ɛn̪ʲijʀ# | Rule 529 : [+syl,+long] > [-long,-splng] 
#t̪ɛn̪ʲijʁ# | Rule 535 : ʀ > ʁ 
