Trajectory file for run 'run1'; etymon number :1166:
#sˌuperkˈilium# >>> #səwʁsɛj# ( Correct : #suʁsi#) :
s ˌu p e r k ˈi l i u m 
#sˌuperkˈilʲium# | Rule 3 : l > lʲ / __ [+hi,+front]
#sˌʊpɛrkˈɪlʲɪʊm# | Rule 16 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#sˌʊpɛrkˈɪlʲjʊm# | Rule 25 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat,+cont,.delrel] / __ [+syl]
#sˌʊpɛrkˈɪlʲʝʊm# | Rule 26 : j > ʝ / __ [+syl]
#sˌopɛrkˈelʲʝom# | Rule 52 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#sˌopɛrkˈelʲʝo# | Rule 57 : m > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#sˌopɛrkʲˈelʲʝo# | Rule 62 : [+hi,+back,-cont] > [+front] / __ [+cont,-lo,+front]
#sˌopɛrcˈelʲʝo# | Rule 63 : [+back,+front] > [-back] 
#sˌoprcˈelʲʝo# | Rule 103 : ɛ > ∅ / __ [+cor,+son,-nas]
#sˌoprcˈeʎʝo# | Rule 127 : [+lat] > ʎ / __ [+cons,+hi,+front]
#sˌoprcˈeʎo# | Rule 128 : [-lat,-nas,-syl,+hi,+front] > ∅ / [+hi,+front,+son,+cons] __ 
#sˌoprt͡sʲˈeʎo# | Rule 135 : {c;ɟ} > {t͡sʲ;d͡ʒ} 
#sˌoprt͡sʲˈeːʎo# | Rule 167 : [+prim] > [+long] / __ [+cons] [+syl]
#sˌoprt͡sʲˈeːʎə# | Rule 198 : [-stres,-lo,+syl] > ə 
#sˌoprt͡sʲˈeːʎə̯# | Rule 199 : ə > ə̯ 
#sˌoprt͡sʲˈeːʎ# | Rule 211 : ə̯ > ∅ 
#sˌoprt͡sʲˈeʎ# | Rule 225 : [+syl] > [-long,-splng] / __ [+cons] #
#sˌobrt͡sʲˈeʎ# | Rule 247 : [-voi,-delrel,+ant] > [+voi] / [+syl] __ [+cor,+son,-nas]
#sˌoβrt͡sʲˈeʎ# | Rule 249 : [-delrel,+voi] > [+cont,.delrel] / [-cons] __ [+son,-lat,-nas]
#sˌowrt͡sʲˈeʎ# | Rule 276 : {β;ɣʷ} > {w;w} / __ ( ə ) [+cons]
#sˌowrt͡sˈeʎ# | Rule 342 : t͡sʲ > t͡s 
#sˌewrt͡sˈeʎ# | Rule 361 : [+round,+back,+tense,-hi,+syl] > [-back,+front,-round,-lab] / __ w
#sˌəwrt͡sˈeʎ# | Rule 391 : ˌe > ˌə / __ ( [+cons] ) [-cons]
#sˌəwrsˈeʎ# | Rule 425 : [+delrel] > [+cont,.delrel] 
#sˌəwrsˈɛʎ# | Rule 431 : ˈe > ˈɛ 
#sˌəwɹsˈɛʎ# | Rule 497 : r > ɹ / [-cons] __ [+cons]
#sˌəwrsˈɛʎ# | Rule 510 : ɹ > r 
#sˌəwʀsˈɛʎ# | Rule 512 : r > ʀ 
#səwʀsɛʎ# | Rule 513 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#səwʁsɛʎ# | Rule 520 : ʀ > ʁ 
#səwʁsɛj# | Rule 521 : ʎ > j 
