Trajectory file for run 'run1'; etymon number :1167:
#t̪ˌɑksoːn̪ˈɑːriɑm# >>> #t̪ɛn̪jɛʁ# ( Correct : #t̪an̪jɛʁ#) :
t̪ ˌɑ k s oː n̪ ˈɑː r i ɑ m 
#t̪ˌɑksoːn̪ˈɑːrɪɑm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#t̪ˌɑksoːn̪ˈɑːrjɑm# | Rule 25 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat,+cont,.delrel] / __ [+syl]
#t̪ˌɑksoːn̪ˈɑːrʝɑm# | Rule 28 : j > ʝ / __ [+syl]
#t̪ˌɑkson̪ˈɑːrʝɑm# | Rule 55 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#t̪ˌɑkson̪ˈɑrʝɑm# | Rule 56 : [+syl,+long] > [-long,-splng] 
#t̪ˌɑxson̪ˈɑrʝɑm# | Rule 61 : k > x / [-cons] __ [+cor,-voi]
#t̪ˌɑxson̪ˈɑrʝɑ# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#t̪ˌɑxsũn̪ˈɑrʝɑ# | Rule 165 : [+round,-hi] > [+tense,+hi,+nas,-cons,+son,-lat,+cont,.delrel] / __ [+nas,+cons]
#t̪ˌɑxsũn̪ˈɑrʲɑ# | Rule 175 : r ʝ > rʲ 
#t̪ˌaxsũn̪ˈarʲa# | Rule 198 : [+lo,+syl] > [+front,-back] 
#t̪ˌaçsũn̪ˈarʲa# | Rule 206 : [+back,+hi,+cont,-son] > [-back,+front] / __ [+cor]
#t̪ˌaçsʲũn̪ˈarʲa# | Rule 216 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#t̪ˌaçsʲũn̪ˈaːrʲa# | Rule 227 : [+prim] > [+long] / __ [+cons] [+syl]
#t̪ˌaçsʲən̪ˈaːrʲa# | Rule 267 : [+syl,-stres,-lo] > ə / __ [-syl] ( [-syl] )* [+syl,+lo,+prim]
#t̪ˌaçsʲə̯n̪ˈaːrʲa# | Rule 271 : ə > ə̯ 
#t̪ˌaçsʲn̪ˈaːrʲa# | Rule 306 : ə̯ > ∅ 
#t̪ˌaçsʲn̪ʲˈaːrʲa# | Rule 328 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#t̪ˌaçsʲn̪ʲˈaːjrʲa# | Rule 354 : ∅ > j / [-cons] __ rʲ
#t̪ˌaçsʲn̪ʲjˈaːrʲa# | Rule 355 : ˈaː j > j ˈaː / [+syl] ( [-syl] )* __ rʲ
#t̪ˌaçsʲn̪ʲˈaːrʲa# | Rule 357 : j > ∅ / [+front,+hi,+cons] __ 
#t̪ˌaçsʲn̪ʲˈɛːrʲa# | Rule 375 : [+lo,+syl,+prim] > [-lo,+front,-tense,-cons,-lat,+cont,.delrel] / [+front,-syl] __ [+cons] [-cons]
#t̪ˌaçsʲn̪ʲˈie̯rʲa# | Rule 379 : {ˈɛː;ˈɔː} > {ˈi e̯;ˈu o̯} 
#t̪ˌaçsʲn̪ʲˈie̯ra# | Rule 389 : rʲ > r 
#t̪ˌaçsn̪ˈie̯ra# | Rule 390 : {t̪ʲ;d̪ʲ;sʲ;zʲ;n̪ʲ;d͡zʲ} > {t̪;d̪;s;z;n̪;d͡z} / [+hi,+front,-syl] __ 
#t̪ˌaçsn̪ˈie̯rə# | Rule 438 : a > ə / [+syl] ( [-syl] )* __ 
#t̪ˌaʝsn̪ˈie̯rə# | Rule 455 : ç > ʝ 
#t̪ˌajsn̪ˈie̯rə# | Rule 461 : ʝ > j / [-cons] __ 
#t̪ˌajzn̪ˈie̯rə# | Rule 472 : s > z / __ [+voi,+cons]
#t̪ˌajn̪ˈie̯rə# | Rule 522 : z > ∅ / __ [+cons]
#t̪ˌajn̪jˈerə# | Rule 580 : {ˈi e̯;ˌɛ a̯;ˈɛ a̯;ˈy ø̯} > {j ˈe;e̯ ˌa;e̯ ˈa;ɥ ˈø} 
#t̪ˌɛjn̪jˈerə# | Rule 597 : [+lo,+syl] > [-lo,-tense,-cons,-lat,+cont,.delrel] / __ j [+cons]
#t̪ˌɛj̃n̪jˈerə# | Rule 604 : j > j̃ / __ [+nas,+cons]
#t̪ˌɛ̃j̃n̪jˈerə# | Rule 606 : [+syl,-hi] > [+nas,+son,.delrel] / __ [+nas,-syl]
#t̪ˌɛ̃j̃n̪jˈɛrə# | Rule 634 : ˈe > ˈɛ 
#t̪ˌɛ̃n̪jˈɛrə# | Rule 638 : j̃ > ∅ / [+nas,+front,-tense] __ 
#t̪ˌɛ̃n̪jˈɛrə̯# | Rule 699 : ə > ə̯ / __ #
#t̪ˌɛ̃n̪jˈɛr# | Rule 706 : ə̯ > ∅ 
#t̪ˌɛn̪jˈɛr# | Rule 709 : [+front,-round,+syl,+nas] > [-nas] / __ [+cons,+nas] [-cons]
#t̪ˌɛn̪jˈɛʀ# | Rule 717 : r > ʀ 
#t̪ɛn̪jɛʀ# | Rule 718 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#t̪ɛn̪jɛʁ# | Rule 725 : ʀ > ʁ 
