Trajectory file for run 'run1'; etymon number :1176:
#t̪ˌɑksoːn̪ˈɑːriɑm# >>> #t̪ɛn̪ʲɛʁ# ( Correct : #t̪an̪jɛʁ#) :
t̪ ˌɑ k s oː n̪ ˈɑː r i ɑ m 
#t̪ˌɑksoːn̪ˈɑːrɪɑm# | Rule 12 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#t̪ˌɑksoːn̪ˈɑːrjɑm# | Rule 21 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat,+cont,.delrel] / __ [+syl]
#t̪ˌɑksoːn̪ˈɑːrʝɑm# | Rule 24 : j > ʝ / __ [+syl]
#t̪ˌɑkson̪ˈɑːrʝɑm# | Rule 43 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#t̪ˌɑkson̪ˈɑrʝɑm# | Rule 44 : [+syl,+long] > [-long,-splng] 
#t̪ˌɑxson̪ˈɑrʝɑm# | Rule 49 : k > x / [-cons] __ [+cor,-voi]
#t̪ˌɑxson̪ˈɑrʝɑ# | Rule 58 : m > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#t̪ˌɑxson̪ˈɑrʲɑ# | Rule 138 : r ʝ > rʲ 
#t̪ˌaxson̪ˈarʲa# | Rule 153 : [+lo,+syl] > [+front,-back] 
#t̪ˌaçson̪ˈarʲa# | Rule 162 : [+back,+hi,+cont,-son] > [-back,+front] / __ [+cor]
#t̪ˌaçsʲon̪ˈarʲa# | Rule 167 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#t̪ˌaçsʲon̪ˈaːrʲa# | Rule 176 : [+prim] > [+long] / __ [+cons] [+syl]
#t̪ˌaçsʲon̪ˈaːrʲɛ# | Rule 189 : [+lo,+syl] > [-lo,+front,-tense,-cons,-lat,+cont,.delrel] / [+front,+cons] __ #
#t̪ˌaç?on̪ˈaːrʲɛ# | Rule 202 : [+hi,+front,-syl,+cont] > [-cont,-son,-delrel,+cons,.tense] / [+cons] __ [+syl]
#t̪ˌaç?ən̪ˈaːrʲɛ# | Rule 206 : [+syl,-stres,-lo] > ə / __ ( [-syl] )* [+syl,+lo,+prim]
#t̪ˌaç?ən̪ˈaːrʲə# | Rule 207 : [-stres,-lo,+syl] > ə 
#t̪ˌaç?ə̯n̪ˈaːrʲə̯# | Rule 208 : ə > ə̯ 
#t̪ˌaç?n̪ˈaːrʲ# | Rule 220 : ə̯ > ∅ 
#t̪ˌaç?n̪ʲˈaːrʲ# | Rule 223 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#t̪ˌaç?n̪ʲˈarʲ# | Rule 234 : [+syl] > [-long,-splng] / __ [+cons] #
#t̪ˌaç?n̪ʲˈajr# | Rule 263 : {t̪ʲ;d̪ʲ;sʲ;zʲ;rʲ} > {j t̪;j d̪;j s;j z;j r} 
#t̪ˌaç?n̪ʲˈaːjr# | Rule 271 : [+prim] > [+long] / __ [-cons]
#t̪ˌaç?n̪ʲˈajr# | Rule 279 : [+syl] > [-long,-splng] / __ [-syl,-cons] [-syl]
#t̪ˌaʝ?n̪ʲˈajr# | Rule 309 : ç > ʝ 
#t̪ˌaj?n̪ʲˈajr# | Rule 311 : ʝ > j / [-cons] __ 
#t̪ˌajðn̪ʲˈajr# | Rule 322 : [-cont,-delrel,+cor] > ð / [-cons] __ [+son,+cor]
#t̪ˌajðn̪ʲˈajrə# | Rule 348 : ∅ > ə / [+front,-syl,+hi] r __ #
#t̪ˌajn̪ʲˈajrə# | Rule 398 : {θ;ð} > {∅;∅} 
#t̪ˌɛjn̪ʲˈɛjrə# | Rule 404 : [+lo,+syl] > [-lo,-tense,-cons,-lat,+cont,.delrel] / __ j [+cons]
#t̪ˌɛːn̪ʲˈɛːrə# | Rule 429 : {ˌɛ j;ˌɛː j;ˈɛ j;ˈɛː j} > {ˌɛː;ˌɛː;ˈɛː;ˈɛː} / __ [+cons]
#t̪ˌɛ̃ːn̪ʲˈɛːrə# | Rule 438 : [+syl,-hi] > [+nas,+son,.delrel] / __ [+nas,+cons]
#t̪ˌɛ̃ːn̪ʲˈɛːrə̯# | Rule 505 : ə > ə̯ / __ #
#t̪ˌɛ̃ːn̪ʲˈɛːr# | Rule 512 : ə̯ > ∅ 
#t̪ˌɛːn̪ʲˈɛːr# | Rule 515 : [+front,-round,+syl,+nas] > [-nas] / __ [+cons,+nas] [-cons]
#t̪ˌɛːn̪ʲˈɛːʀ# | Rule 522 : r > ʀ 
#t̪ɛːn̪ʲɛːʀ# | Rule 523 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#t̪ɛn̪ʲɛʀ# | Rule 524 : [+syl,+long] > [-long,-splng] 
#t̪ɛn̪ʲɛʁ# | Rule 530 : ʀ > ʁ 
