Trajectory file for run 'run1'; etymon number :1309:
#wˌen̪erisd̪ˈieːs# >>> #væ̃d̪ʁd̪i# ( Correct : #vɑ̃d̪ʁəd̪i#) :
w ˌe n̪ e r i s d̪ ˈi eː s 
#ɣʷˌen̪erisd̪ˈieːs# | Rule 4 : {j;w} > {ʝ;ɣʷ} / __ [+syl]
#ɣʷˌɛn̪ɛrɪsd̪ˈɪeːs# | Rule 11 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#βˌɛn̪ɛrɪsd̪ˈɪeːs# | Rule 35 : ɣʷ > β 
#βˌɛn̪ɛrɪsd̪ˈɪes# | Rule 46 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#βˌɛn̪ɛresd̪ˈees# | Rule 49 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#βˌɛn̪ɛresd̪ˈies# | Rule 52 : ˈe > ˈi / __ e
#βˌɛn̪ɛresd̪ˈiːes# | Rule 72 : [+prim] > [+long] / __ [-cons]
#βˌɛn̪resd̪ˈiːes# | Rule 100 : ɛ > ∅ / __ [+cor,+son,-nas]
#βˌɛn̪d̪resd̪ˈiːes# | Rule 103 : {z r;n̪ r;s r} > {z d̪ r;n̪ d̪ r;s t̪ r} 
#βˌɛn̪d̪rəsd̪ˈiːəs# | Rule 195 : [-stres,-lo,+syl] > ə 
#βˌɛn̪d̪rə̯sd̪ˈiːə̯s# | Rule 196 : ə > ə̯ 
#βˌɛn̪d̪rəsd̪ˈiːə̯s# | Rule 197 : ə̯ > ə / [+stres] ( [-syl] )* [-son] r __ ( [-syl] )* [+stres]
#βˌɛn̪d̪rəsd̪ˈiːs# | Rule 208 : ə̯ > ∅ 
#βˌɛn̪d̪rəsd̪ˈis# | Rule 222 : [+syl] > [-long,-splng] / __ [+cons] #
#βˌen̪d̪rəsd̪ˈis# | Rule 272 : {ˌɛ;ˌɔ} > {ˌe;ˌo} 
#vˌen̪d̪rəsd̪ˈis# | Rule 274 : β > v 
#vˌen̪d̪rəzd̪ˈis# | Rule 309 : s > z / __ [+voi,+cons]
#vˌen̪d̪rəðd̪ˈis# | Rule 329 : z > ð / __ [+cor,+ant,+distr,+voi,+cons]
#vˌẽn̪d̪rəðd̪ˈis# | Rule 347 : [+front,-hi,+syl] > [+nas,+son,.delrel] / __ [+nas,-syl]
#vˌɛ̃n̪d̪rəðd̪ˈis# | Rule 371 : [+front,-hi,-lo,+syl,+nas] > [-tense,-cons,-lat,+cont,.delrel] 
#vˌæ̃n̪d̪rəðd̪ˈis# | Rule 376 : [+nas,-hi,+syl] > [+lo] 
#vˌæ̃n̪d̪rəd̪ˈis# | Rule 386 : {θ;ð} > {∅;∅} 
#vˌæ̃n̪d̪rd̪ˈis# | Rule 469 : ə > ∅ / r __ [+cons]
#vˌæ̃ːd̪rd̪ˈis# | Rule 479 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#vˌæ̃ːd̪rd̪ˈi# | Rule 499 : [-son] > ∅ / __ #
#vˌæ̃ːd̪ʀd̪ˈi# | Rule 510 : r > ʀ 
#væ̃ːd̪ʀd̪i# | Rule 511 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#væ̃d̪ʀd̪i# | Rule 512 : [+syl,+long] > [-long,-splng] 
#væ̃d̪ʁd̪i# | Rule 518 : ʀ > ʁ 
