Trajectory file for run 'run1'; etymon number :356:
#ˌimperɑːt̪ˈoːrem# >>> #ɑ̃pʁœ# ( Correct : #ɑ̃pʁœʁ#) :
ˌi m p e r ɑː t̪ ˈoː r e m 
#ˌɪmpɛrɑːt̪ˈoːrɛm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#ˌɪmpɛrɑːt̪ˈorɛm# | Rule 55 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#ˌɪmpɛrɑt̪ˈorɛm# | Rule 56 : [+syl,+long] > [-long,-splng] 
#ˌempɛrɑt̪ˈorɛm# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#ˌempɛrɑt̪ˈorɛ# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#ˌempɛrɑt̪ˈoːrɛ# | Rule 111 : [+prim] > [+long] / __ [+cons] [-cons]
#ˌempɛrat̪ˈoːrɛ# | Rule 197 : [+lo,+syl] > [+front,-back] 
#ˌempərat̪ˈoːrɛ# | Rule 265 : [-stres,-lo,+syl] > ə / __ [-syl]
#ˌempərat̪ˈoːrə# | Rule 266 : [-stres,-lo,+syl] > ə / __ #
#ˌempə̯rat̪ˈoːrə̯# | Rule 268 : ə > ə̯ 
#ˌempɾat̪ˈoːrə̯# | Rule 289 : {n̪ ə̯;ə̯ n̪;r ə̯;ə̯ r} > {ɾ;ɾ;ɾ;ɾ} / [-cont] __ [-cons]
#ˌemprat̪ˈoːrə̯# | Rule 297 : ɾ > r 
#ˌemprat̪ˈoːr# | Rule 302 : ə̯ > ∅ 
#ˌemprad̪ˈoːr# | Rule 354 : [-voi] > [+voi] / [-cons] __ [-cons]
#ˌempraðˈoːr# | Rule 378 : [-delrel,+voi] > [+cont,.delrel] / [-cons] __ [-cons]
#ˌempraðˈowr# | Rule 407 : {ˈaː;ˈeː;ˈoː;ˈɛː} > {ˈa e̯;ˈe j;ˈo w;ˈi e̯} 
#ˌemprəðˈowr# | Rule 434 : a > ə / [+syl] ( [-syl] )* __ 
#ˌẽmprəðˈowr# | Rule 508 : [+front,-hi,+syl] > [+nas,+son,.delrel] / __ [+nas,-syl]
#ˌẽmprəðˈewr# | Rule 527 : ˈo > ˈe / __ w
#ˌɛ̃mprəðˈewr# | Rule 555 : [+front,-hi,-lo,+syl,+nas] > [-tense,-cons,-lat,+cont,.delrel] 
#ˌãmprəðˈewr# | Rule 560 : [+nas,-hi,+syl] > [+lo,+tense,-cons,-lat,+cont,.delrel] / __ [+cons]
#ˌãmprəˈewr# | Rule 587 : {θ;ð} > {∅;∅} 
#ˌãmprəˈøwr# | Rule 591 : [-hi,-lo,+tense,+syl] > [+round,+lab] / __ w
#ˌãmprəˈør# | Rule 595 : w > ∅ / [+round,+front,-hi,+syl] __ 
#ˌãmprəˈøːr# | Rule 648 : [+stres] > [+long] / ə __ 
#ˌãmprˈøːr# | Rule 649 : ə > ∅ / __ [+syl]
#ˌãːprˈøːr# | Rule 678 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#ˌãːprˈøːɹ# | Rule 693 : r > ɹ / [-cons] __ #
#ˌãːprˈøː# | Rule 707 : ɹ > ∅ / [+syl] ( [-syl] )* [-hi,+front,+tense,-lo] __ #
#ˌãːpʀˈøː# | Rule 710 : r > ʀ 
#ãːpʀøː# | Rule 711 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#ãpʀø# | Rule 712 : [+syl,+long] > [-long,-splng] 
#ãpʀœ# | Rule 715 : ø > œ / __ ( [+cons] )* #
#ɑ̃pʀœ# | Rule 717 : {ã;ãː} > {ɑ̃;ɑ̃ː} 
#ɑ̃pʁœ# | Rule 718 : ʀ > ʁ 
