Trajectory file for run 'run1'; etymon number :382:
#iˌuwen̪kˈellɑm# >>> #ʝuvẽ̯ɲiː# ( Correct : #ʒuvɑ̃sɛl#) :
i ˌu w e n̪ k ˈe l l ɑ m 
#iˌuweŋkˈellɑm# | Rule 0 : n̪ > ŋ / __ [+hi,+back,-cont]
#iˌuweŋkˈelʲɑm# | Rule 2 : l l > lʲ 
#iˌuɣʷeŋkˈelʲɑm# | Rule 7 : {j;w} > {ʝ;ɣʷ} / __ [+syl]
#ɪˌʊɣʷɛŋkˈɛlʲɑm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat] 
#jˌʊɣʷɛŋkˈɛlʲɑm# | Rule 24 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat] / __ [+syl]
#ʝˌʊɣʷɛŋkˈɛlʲɑm# | Rule 25 : j > ʝ / __ [+syl]
#ʝˌʊβɛŋkˈɛlʲɑm# | Rule 36 : ɣʷ > β 
#ʝˌoβɛŋkˈɛlʲɑm# | Rule 50 : [+hi,-tense] > [-hi,+tense,-cons,-lat] 
#ʝˌoβɛŋkˈɛlʲɑ# | Rule 55 : m > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#ʝˌoβɛŋkʲˈɛlʲɑ# | Rule 60 : [+hi,+back,-cont] > [+front] / __ [+cont,-lo,+front]
#ʝˌoβɛŋcˈɛlʲɑ# | Rule 61 : [+back,+front] > [-back] 
#ʝˌoβɛŋcˈɛːlʲɑ# | Rule 73 : [+prim] > [+long] / __ [+cons] [-cons]
#ʝˌoβɛɲcˈɛːlʲɑ# | Rule 93 : {ŋ;ɫ;s} > {ɲ;lʲ;sʲ} / __ [-cont,+hi,+front]
#ʝˌoβɛɲcˈielʲɑ# | Rule 109 : {ˈɛː;ˈɔː} > {ˈi e;ˈu o} 
#ʝˌoβɛɲˈielʲɑ# | Rule 113 : [+cons,+hi,+front] > ∅ / [+hi,+front,+son,+cons] __ 
#ʝˌoβɛɲˈielʲa# | Rule 129 : [+lo,+syl] > [+front,-back] 
#ʝˌoβɛɲˈiːelʲa# | Rule 151 : [+prim] > [+long] / __ [-cons]
#ʝˌoβie̯ɲˈiːelʲa# | Rule 156 : {ɛ;ˌɛ;ˈɛ;ˈɛː;ɔ;ˌɔ;ˈɔ;ˈɔː} > {i e̯;ˌi e̯;ˈi e̯;ˈi e̯;u o̯;ˌu o̯;ˈu o̯;ˈu o̯} / __ [+cons,+hi,+front]
#ʝˌoβie̯ɲˈiːelʲɛ# | Rule 159 : [+lo,+syl] > [-lo,+front,-tense,-cons,-lat] / [+front,+cons] __ #
#ʝˌoβie̯ɲˈiːlʲɛ# | Rule 171 : [+syl,-stres] > ∅ / __ ( [-syl] )* [+syl] ( [-syl] )* #
#ʝˌoβəe̯ɲˈiːlʲə# | Rule 229 : [-stres,-lo,+syl] > ə 
#ʝˌovəe̯ɲˈiːlʲə# | Rule 233 : β > v 
#ʝˌove̯ɲˈiːlʲ# | Rule 235 : ə > ∅ 
#ʝˌuve̯ɲˈiːlʲ# | Rule 317 : [+round,+tense,+back] > [+hi] 
#ʝˌuvẽ̯ɲˈiːlʲ# | Rule 352 : [-cons,-hi] > [+nas,+son,.delrel] / __ [+nas]
#ʝˌuvẽ̯ɲˈiː# | Rule 394 : [+lat] > ∅ / [+hi,+syl] __ #
#ʝuvẽ̯ɲiː# | Rule 459 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
