Trajectory file for run 'run1'; etymon number :383:
#iˌuwen̪kˈellum# >>> #ʒuve̯ɲɛl# ( Correct : #ʒuvɑ̃so#) :
i ˌu w e n̪ k ˈe l l u m 
#iˌuweŋkˈellum# | Rule 0 : n̪ > ŋ / __ [+hi,+back,-cont]
#iˌuweŋkˈeɫɫum# | Rule 4 : l > ɫ / @ __ 
#iˌuɣʷeŋkˈeɫɫum# | Rule 7 : {j;w} > {ʝ;ɣʷ} / __ [+syl]
#iˌuɣʷeŋkˈellum# | Rule 10 : [+lat] > [-back] 
#ɪˌʊɣʷɛŋkˈɛllʊm# | Rule 16 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#jˌʊɣʷɛŋkˈɛllʊm# | Rule 25 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat,+cont,.delrel] / __ [+syl]
#ʝˌʊɣʷɛŋkˈɛllʊm# | Rule 26 : j > ʝ / __ [+syl]
#ʝˌʊβɛŋkˈɛllʊm# | Rule 38 : ɣʷ > β 
#ʝˌoβɛŋkˈɛllom# | Rule 52 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#ʝˌoβɛŋkˈɛllo# | Rule 57 : m > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#ʝˌoβɛŋkʲˈɛllo# | Rule 62 : [+hi,+back,-cont] > [+front] / __ [+cont,-lo,+front]
#ʝˌoβɛŋcˈɛllo# | Rule 63 : [+back,+front] > [-back] 
#ʝˌoβɛɲcˈɛllo# | Rule 102 : {ŋ;ɫ;s} > {ɲ;lʲ;sʲ} / __ [-cont,+hi,+front]
#ʝˌoβɛɲˈɛllo# | Rule 128 : [-lat,-nas,-syl,+hi,+front] > ∅ / [+hi,+front,+son,+cons] __ 
#ʝˌoβie̯ɲˈɛllo# | Rule 177 : {ɛ;ˌɛ;ˈɛ;ˈɛː;ɔ;ˌɔ;ˈɔ;ˈɔː} > {i e̯;ˌi e̯;ˈi e̯;ˈi e̯;u o̯;ˌu o̯;ˈu o̯;ˈu o̯} / __ [+cons,+hi,+front]
#ɟˌoβie̯ɲˈɛllo# | Rule 192 : [+hi,-syl,+cont] > [-cont,-son,-delrel,+cons,.tense] / # __ [+syl]
#d͡ʒˌoβie̯ɲˈɛllo# | Rule 195 : [+hi,+front,-cont,-ant] > [+delrel,+cor,-hi,+strid,+distr,-son] 
#d͡ʒˌoβəe̯ɲˈɛllə# | Rule 198 : [-stres,-lo,+syl] > ə 
#d͡ʒˌoβə̯e̯ɲˈɛllə̯# | Rule 199 : ə > ə̯ 
#d͡ʒˌoβe̯ɲˈɛll# | Rule 211 : ə̯ > ∅ 
#d͡ʒˌove̯ɲˈɛll# | Rule 277 : β > v 
#d͡ʒˌove̯ɲˈɛl# | Rule 331 : {p p;b b;f f;m m;t̪ t̪;t̪ t͡s;t̪ t͡sʲ;t̪ t͡ʃ;d̪ d̪;d̪ d͡ʒ;n̪ n̪;s s;z z;l l;k k;ɡ ɡ} > {p;b;f;m;t̪;t͡s;t͡sʲ;t͡ʃ;d̪;d͡ʒ;n̪;s;z;l;k;ɡ} 
#d͡ʒˌuve̯ɲˈɛl# | Rule 366 : [+round,+tense,+back] > [+hi] 
#ʒˌuve̯ɲˈɛl# | Rule 426 : [+delrel] > [+cont,.delrel] 
#ʒuve̯ɲɛl# | Rule 514 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
