Trajectory file for run 'run1'; etymon number :388:
#kˌae̯refˈolium# >>> #sɛʁfœj# ( Correct : #sɛʁfœj#) :
k ˌa e̯ r e f ˈo l i u m 
#kˌɑe̯refˈolium# | Rule 2 : [+lo,+syl] > [-front,+back] 
#kˌae̯refˈolium# | Rule 3 : [+lo,+syl] > [+front,-back] / __ e̯
#kˌae̯rɛfˈɔlɪʊm# | Rule 12 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#kˌae̯rɛfˈɔljʊm# | Rule 21 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat,+cont,.delrel] / __ [+syl]
#kˌae̯rɛfˈɔlʝʊm# | Rule 24 : j > ʝ / __ [+syl]
#kˌɛːrɛfˈɔlʝʊm# | Rule 49 : {a e̯;ˌa e̯;ˈa e̯} > {ɛː;ˌɛː;ˈɛː} 
#kˌɛːrɛfˈɔlʝom# | Rule 57 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#kˌɛːrɛfˈɔlʝo# | Rule 62 : m > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#kʲˌɛːrɛfˈɔlʝo# | Rule 67 : [+hi,+back,-cont] > [+front] / __ [+cont,-lo,+front]
#cˌɛːrɛfˈɔlʝo# | Rule 68 : [+back,+front] > [-back] 
#cˌɛːrɛfˈɔʎo# | Rule 79 : l ʝ > ʎ 
#cˌɛːrɛfˈɔːʎo# | Rule 86 : [+prim] > [+long] / __ [+cons] [-cons]
#cˌɛːrfˈɔːʎo# | Rule 109 : [+front,+syl,-hi,-lo,-stres] > ∅ / [+front,-hi,-lo,-prim,+stres] r __ [+cons] [+back,+prim]
#cˌɛrfˈɔːʎo# | Rule 125 : [+syl] > [-long,-splng] / __ [+cons] [+cons,-son]
#cˌɛrfˈuo̯ʎo# | Rule 139 : {ˈɛː;ˈɔː} > {ˈi e̯;ˈu o̯} 
#t͡sʲˌɛrfˈuo̯ʎo# | Rule 151 : {c;ɟ} > {t͡sʲ;d͡ʒ} 
#t͡sʲˌɛrfˈuːo̯ʎo# | Rule 187 : [+prim] > [+long] / __ [-cons]
#t͡sʲˌɛrfˈuo̯ʎo# | Rule 193 : [+syl] > [-long,-splng] / __ o̯
#t͡sʲˌɛrfˈʉo̯ʎo# | Rule 206 : [+hi,+tense,+round,+syl] > [-front,-back] 
#t͡sʲˌɛrfˈʉo̯ʎə# | Rule 219 : [-stres,-lo,+syl] > ə 
#t͡sʲˌɛrfˈʉo̯ʎə̯# | Rule 220 : ə > ə̯ 
#t͡sʲˌɛrfˈʉo̯ʎ# | Rule 232 : ə̯ > ∅ 
#t͡sʲˌɛrf?o̯ʎ# | Rule 251 : [+prim] > [+long] / __ [-cons]
#t͡sʲˌɛrfˈʉo̯ʎ# | Rule 257 : [+syl] > [-long,-splng] / __ o̯
#t͡sʲˌɛrf?o̯ʎ# | Rule 283 : [+prim] > [+long] / __ [-cons]
#t͡sʲˌɛrfˈʉo̯ʎ# | Rule 289 : [+syl] > [-long,-splng] / __ o̯
#t͡sʲˌerfˈʉo̯ʎ# | Rule 296 : {ˌɛ;ˌɔ} > {ˌe;ˌo} 
#t͡sˌerfˈʉo̯ʎ# | Rule 363 : t͡sʲ > t͡s 
#t͡sˌerfˈyo̯ʎ# | Rule 367 : [+hi,+round,-back] > [+front] 
#t͡sˌerfˈye̯ʎ# | Rule 375 : o̯ > e̯ 
#t͡sˌerfˈøʎ# | Rule 402 : [+hi,+round,+tense,+prim] e̯ > ˈø
#sˌerfˈøʎ# | Rule 447 : [+delrel] > [+cont,.delrel] 
#sˌɛrfˈøʎ# | Rule 463 : [-hi,-lo,+syl,+front,-round] > [-tense,-cons,-lat,+cont,.delrel] / __ r [+cons]
#sˌɛɹfˈøʎ# | Rule 519 : r > ɹ / [-cons] __ [+cons]
#sˌɛrfˈøʎ# | Rule 532 : ɹ > r 
#sˌɛʀfˈøʎ# | Rule 534 : r > ʀ 
#sɛʀføʎ# | Rule 535 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#sɛʀfœʎ# | Rule 539 : ø > œ / __ ( [+cons] )* #
#sɛʁfœʎ# | Rule 542 : ʀ > ʁ 
#sɛʁfœj# | Rule 543 : ʎ > j 
