Trajectory file for run 'run1'; etymon number :486:
#kˌompˈɑːn̪iˈoːn̪em# >>> #kɔ̃pɛɲɔ̃# ( Correct : #kɔ̃paɲɔ̃#) :
k ˌo m p ˈɑː n̪ i ˈoː n̪ e m 
#kˌɔmpˈɑːn̪ɪˈoːn̪ɛm# | Rule 12 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#kˌɔmpˈɑːn̪jˈoːn̪ɛm# | Rule 21 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat,+cont,.delrel] / __ [+syl]
#kˌɔmpˈɑːn̪ʝˈoːn̪ɛm# | Rule 24 : j > ʝ / __ [+syl]
#kˌɔmpˈɑːn̪ʝˈon̪ɛm# | Rule 47 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#kˌɔmpˈɑn̪ʝˈon̪ɛm# | Rule 48 : [+syl,+long] > [-long,-splng] 
#kˌɔmpˈɑn̪ʝˈon̪ɛ# | Rule 62 : m > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#kˌɔmpˈɑɲˈon̪ɛ# | Rule 76 : [+nas,+cor] [+hi,+front,-syl,+voi,+cont] > ɲ
#kˌɔmpˈɑːɲˈoːn̪ɛ# | Rule 89 : [+prim] > [+long] / __ [+cons] [-cons]
#kˌɔmpˈaːɲˈoːn̪ɛ# | Rule 157 : [+lo,+syl] > [+front,-back] 
#kˌɔmpˈaːɲˈoːn̪ə# | Rule 208 : [-stres,-lo,+syl] > ə 
#kˌɔmpˈaːɲˈoːn̪ə̯# | Rule 209 : ə > ə̯ 
#kˌɔmpˈaːɲˈoːn̪# | Rule 221 : ə̯ > ∅ 
#kˌumpˈaːɲˈuːn̪# | Rule 258 : [+syl,-hi,-lo,+round] > [+hi,+tense,-cons,-lat,+cont,.delrel] / __ [+nas,+cons]
#kˌumpˈae̯ɲˈuːn̪# | Rule 273 : {ˈaː;ˈeː;ˈoː;ˈɛː} > {ˈa e̯;ˈe j;ˈo w;ˈi e̯} 
#kˌumpˈeːɲˈuːn̪# | Rule 305 : {a e̯;ˌa e̯;ˈa e̯} > {eː;ˌeː;ˈeː} 
#kˌum̥pˈeːɲˈuːn̪# | Rule 331 : [-son] > [-voi] / __ [-voi]
#kˌum̥pˈẽːɲˈuːn̪# | Rule 351 : [+front,-hi,+syl] > [+nas,+son,.delrel] / __ [+nas,-syl]
#kˌum̥pˈẽːj̃ɲˈuːn̪# | Rule 371 : ∅ > j̃ / [-hi,-lo,+front,-round,+tense,+stres] __ ɲ [+syl]
#kˌum̥pˈɛ̃ːj̃ɲˈuːn̪# | Rule 375 : [+front,-hi,-lo,+syl,+nas] > [-tense,-cons,-lat,+cont,.delrel] 
#kˌum̥pˈæ̃ːj̃ɲˈuːn̪# | Rule 380 : [+nas,-hi,+syl] > [+lo] 
#kˌum̥pˈɛ̃ːj̃ɲˈuːn̪# | Rule 398 : [+lo,+nas] > [-lo,-tense,-cons,-lat,+cont,.delrel] / __ j̃
#kˌũm̥pˈɛ̃ːj̃ɲˈũːn̪# | Rule 403 : [+syl,-front] > [+nas,+son,.delrel] / __ [+nas]
#kˌũm̥pˈɛ̃ːɲˈũːn̪# | Rule 437 : j̃ > ∅ / [+nas,+front,-tense] __ 
#kˌũːpˈɛ̃ːɲˈũːn̪# | Rule 483 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#kˌũːpˈɛ̃ːɲˈũː# | Rule 484 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ #
#kˌũːpˈɛːɲˈũː# | Rule 507 : [+front,-round,+syl,+nas] > [-nas] / __ [+cons,+nas] [-cons]
#kũːpɛːɲũː# | Rule 515 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#kũpɛɲũ# | Rule 516 : [+syl,+long] > [-long,-splng] 
#kɔ̃pɛɲɔ̃# | Rule 517 : [+back,-lo,+nas,+syl] > ɔ̃ 
