Trajectory file for run 'run1'; etymon number :688:
#mˌerkɑt̪ˈɑn̪t̪em# >>> #mwaʁʃəðʲɛ̃# ( Correct : #maʁʃɑ̃#) :
m ˌe r k ɑ t̪ ˈɑ n̪ t̪ e m 
#mˌɛrkɑt̪ˈɑn̪t̪ɛm# | Rule 14 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,0delrel] 
#mˌɛrkɑt̪ˈɑn̪t̪ɛ# | Rule 69 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#mˌɛrkat̪ˈan̪t̪ɛ# | Rule 195 : [+lo,+syl] > [+front,-back] 
#mˌɛrkʲat̪ˈan̪t̪ɛ# | Rule 228 : [+hi,+back,+cons] > [+front] / __ [+front,+syl]
#mˌɛrcat̪ˈan̪t̪ɛ# | Rule 241 : [+back,+front] > [-back] 
#mˌɛrt͡ʃat̪ˈan̪t̪ɛ# | Rule 250 : [+hi,+front,-cont,-ant] > [+delrel,+cor,-hi,+strid,+distr,-son] 
#mˌɛrt͡ʃat̪ˈan̪t̪ə# | Rule 260 : [-stres,-lo,+syl] > ə / __ #
#mˌɛrt͡ʃat̪ˈan̪t̪ə̯# | Rule 262 : ə > ə̯ 
#mˌɛrt͡ʃat̪ˈan̪t̪# | Rule 296 : ə̯ > ∅ 
#mˌɛrʲt͡ʃat̪ʲˈan̪ʲt̪ʲ# | Rule 319 : [+cor,+ant,-lat] > [+hi,+front] 
#mˌɛjrʲt͡ʃat̪ʲˈan̪ʲt̪ʲ# | Rule 345 : ∅ > j / [-cons] __ rʲ
#mˌɛjrʲt͡ʃad̪ʲˈan̪ʲt̪ʲ# | Rule 349 : [-voi] > [+voi] / [-cons] __ [-cons]
#mˌɛjrʲt͡ʃaðʲˈan̪ʲt̪ʲ# | Rule 373 : [-delrel,+voi] > [+cont,0delrel] / [-cons] __ [-cons]
#mˌɛjrt͡ʃaðʲˈan̪ʲt̪ʲ# | Rule 380 : rʲ > r 
#mˌɛjrt͡ʃaðʲˈan̪ʲt̪# | Rule 381 : {t̪ʲ;d̪ʲ;sʲ;zʲ;n̪ʲ;d͡zʲ} > {t̪;d̪;s;z;n̪;d͡z} / [+hi,+front,-syl] __ 
#mˌɛjrt͡ʃaðʲˈajn̪t̪# | Rule 382 : {t̪ʲ;d̪ʲ;sʲ;zʲ;n̪ʲ;d͡zʲ} > {j t̪;j d̪;j s;j z;j n̪;j d͡z} / [-cons] __ 
#mˌejrt͡ʃaðʲˈajn̪t̪# | Rule 411 : ˌɛ > ˌe / __ [-cor]
#mˌejrt͡ʃəðʲˈajn̪t̪# | Rule 431 : a > ə / [+syl] ( [-syl] )* __ 
#mˌejrt͡ʃəðʲˈaj̃n̪t̪# | Rule 492 : j > j̃ / [+lo,+syl] __ [+nas,-syl]
#mˌejrt͡ʃəðʲˈãj̃n̪t̪# | Rule 493 : [+lo,+syl] > [+nas,+son,0delrel] / __ [+nas,-syl]
#mˌojrt͡ʃəðʲˈãj̃n̪t̪# | Rule 529 : [+front,+tense,-hi,-lo,+syl] > [+back,-front,+round,+lab] / __ j
#mˌoɛ̯rt͡ʃəðʲˈãj̃n̪t̪# | Rule 545 : j > ɛ̯ / [+syl,+back,+round] __ r
#mˌuɛ̯rt͡ʃəðʲˈãj̃n̪t̪# | Rule 551 : [+round,+tense,+back] > [+hi] 
#mˌuɛ̯rt͡ʃəðʲˈɛ̃j̃n̪t̪# | Rule 575 : [+lo,+nas] > [-lo,-tense,-cons,-lat,+cont,0delrel] / __ j̃
#mwˌɛrt͡ʃəðʲˈɛ̃j̃n̪t̪# | Rule 619 : {u ɛ̯;ˌu ɛ̯;ˈu ɛ̯;ɔ ɛ̯;ˌɔ ɛ̯;ˈɔ ɛ̯} > {w ɛ;w ˌɛ;w ˈɛ;w ɛ;w ˌɛ;w ˈɛ} 
#mwˌɛrʃəðʲˈɛ̃j̃n̪t̪# | Rule 634 : [+delrel] > [+cont,0delrel] 
#mwˌɛrʃəðʲˈɛ̃n̪t̪# | Rule 650 : j̃ > ∅ / [+nas,+front,-tense] __ 
#mwˌɛrʃəðʲˈɛ̃ːt̪# | Rule 653 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#mwˌɛɹʃəðʲˈɛ̃ːt̪# | Rule 715 : r > ɹ / [-cons] __ [+cons]
#mwˌɛɹʃəðʲˈɛ̃ː# | Rule 720 : [-son] > ∅ / __ #
#mwˌɛrʃəðʲˈɛ̃ː# | Rule 733 : ɹ > r 
#mwˌɛʀʃəðʲˈɛ̃ː# | Rule 735 : r > ʀ 
#mwɛʀʃəðʲɛ̃ː# | Rule 736 : [+stres] > [-stres,-prim,+syl,+son,0delrel] 
#mwɛʀʃəðʲɛ̃# | Rule 737 : [+syl,+long] > [-long,-splng] 
#mwaʀʃəðʲɛ̃# | Rule 742 : ɛ > a / w __ 
#mwaʁʃəðʲɛ̃# | Rule 743 : ʀ > ʁ 
