Trajectory file for run 'run1'; etymon number :905:
#plˌɑn̪t̪ˈɑːɡin̪em# >>> #plet̪ɛ̃# ( Correct : #plɑ̃t̪ɛ̃#) :
p l ˌɑ n̪ t̪ ˈɑː ɡ i n̪ e m 
#plˌɑn̪t̪ˈɑːɡɪn̪ɛm# | Rule 14 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,0delrel] 
#plˌɑn̪t̪ˈɑːɡn̪ɛm# | Rule 44 : [+syl,-stres,+front] > ∅ / [+syl] ɡ __ [+cor,-strid,-lat,+voi] [+syl]
#plˌɑn̪t̪ˈɑɡn̪ɛm# | Rule 55 : [+syl,+long] > [-long,-splng] 
#plˌɑn̪t̪ˈɑɡn̪ɛ# | Rule 69 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#plˌɑn̪t̪ˈɑɣn̪ɛ# | Rule 115 : [+hi,+back,-cont] > [+cont,0delrel] / [-cons] __ [+cor,+cons]
#plˌan̪t̪ˈaɣn̪ɛ# | Rule 195 : [+lo,+syl] > [+front,-back] 
#plˌan̪t̪ˈaʝn̪ɛ# | Rule 203 : [+back,+hi,+cont,-son] > [-back,+front] / __ [+cor]
#plˌan̪t̪ˈaʝn̪ʲɛ# | Rule 211 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#plˌan̪t̪ˈaʝn̪ʲə# | Rule 261 : [-stres,-lo,+syl] > ə / __ #
#plˌan̪t̪ˈaʝn̪ʲə̯# | Rule 263 : ə > ə̯ 
#plˌan̪t̪ˈaʝn̪ʲ# | Rule 297 : ə̯ > ∅ 
#plˌan̪t̪ˈajn̪ʲ# | Rule 308 : ʝ > j / __ ( [-syl] )* #
#plˌan̪ʲt̪ʲˈajn̪ʲ# | Rule 320 : [+cor,+ant,-lat] > [+hi,+front] 
#plˌan̪ʲt̪ʲˈaːjn̪ʲ# | Rule 359 : [+prim] > [+long] / __ j ( [+cons] )* [+cor,+hi,+front]
#plˌan̪ʲt̪ʲˈɛːjn̪ʲ# | Rule 363 : [+lo,+syl,+prim] > [-lo,+front,-tense,-cons,-lat,+cont,0delrel] / [+front,-syl] __ [-cons]
#plˌan̪ʲt̪ʲˈie̯jn̪ʲ# | Rule 368 : {ˈɛː;ˈɔː} > {ˈi e̯;ˈu o̯} 
#plˌan̪ʲt̪ˈie̯jn̪# | Rule 379 : {t̪ʲ;d̪ʲ;sʲ;zʲ;n̪ʲ;d͡zʲ} > {t̪;d̪;s;z;n̪;d͡z} / [+hi,+front,-syl] __ 
#plˌajn̪t̪ˈie̯jn̪# | Rule 380 : {t̪ʲ;d̪ʲ;sʲ;zʲ;n̪ʲ;d͡zʲ} > {j t̪;j d̪;j s;j z;j n̪;j d͡z} / [-cons] __ 
#plˌaj̃n̪t̪ˈie̯jn̪# | Rule 490 : j > j̃ / [+lo,+syl] __ [+nas,-syl]
#plˌãj̃n̪t̪ˈie̯jn̪# | Rule 491 : [+lo,+syl] > [+nas,+son,0delrel] / __ [+nas,-syl]
#plˌãj̃n̪t̪ˈijn̪# | Rule 541 : e̯ > ∅ / [+hi,+front,+tense,+prim] __ [-syl,-cons,+hi,-round]
#plˌãj̃n̪t̪ˈin̪# | Rule 542 : [-syl,-cons,+hi,-round] > ∅ / ˈi __ 
#plˌɛ̃j̃n̪t̪ˈin̪# | Rule 573 : [+lo,+nas] > [-lo,-tense,-cons,-lat,+cont,0delrel] / __ j̃
#plˌɛ̃j̃n̪t̪ˈĩn̪# | Rule 621 : [+syl] > [+nas,+son,0delrel] / __ [+nas,+cons]
#plˌɛ̃j̃n̪t̪ˈẽn̪# | Rule 647 : [+nas,+front,-round,-lo,+syl] > [-hi] 
#plˌɛ̃n̪t̪ˈẽn̪# | Rule 648 : j̃ > ∅ / [+nas,+front,-tense] __ 
#plˌɛ̃ːt̪ˈẽn̪# | Rule 651 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#plˌɛ̃ːt̪ˈẽː# | Rule 652 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ #
#plˌɛ̃ːt̪ˈɛ̃ː# | Rule 662 : [+front,-lo,+nas,+syl,-round] > [-hi,-tense,-cons,-lat,+cont,0delrel] / [+cons] __ 
#plˌet̪ˈɛ̃ː# | Rule 728 : [-round,-hi,-back,-lo,+stres,-prim] > ˌe / [+lab] l __ 
#plet̪ɛ̃ː# | Rule 734 : [+stres] > [-stres,-prim,+syl,+son,0delrel] 
#plet̪ɛ̃# | Rule 735 : [+syl,+long] > [-long,-splng] 
