Trajectory file for run 'run1'; etymon number :916:
#plˌɑn̪t̪ˈɑːɡin̪em# >>> #plɑ̃t̪ɛn̪# ( Correct : #plɑ̃t̪ɛ̃#) :
p l ˌɑ n̪ t̪ ˈɑː ɡ i n̪ e m 
#plˌɑn̪t̪ˈɑːɡɪn̪ɛm# | Rule 14 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,0delrel] 
#plˌɑn̪t̪ˈɑːɡn̪ɛm# | Rule 45 : [-stres,+front] > ∅ / [+syl] ɡ __ [+cor,-lat,+voi] [+syl]
#plˌɑn̪t̪ˈɑɡn̪ɛm# | Rule 58 : [+syl,+long] > [-long,-splng] 
#plˌɑn̪t̪ˈɑɡn̪ɛ# | Rule 74 : [+nas,+cons] > ∅ / [-stres] __ #
#plˌɑn̪t̪ˈɑɣn̪ɛ# | Rule 121 : [+hi,+back,-cont] > [+cont,0delrel] / [-cons] __ [+cor,+cons]
#plˌan̪t̪ˈaɣn̪ɛ# | Rule 205 : [+lo] > [+front,-back] 
#plˌan̪t̪ˈaʝn̪ɛ# | Rule 214 : [+back,+hi,+cont,-son] > [-back,+front] / __ [+cor]
#plˌan̪t̪ˈaʝn̪ʲɛ# | Rule 222 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#plˌan̪t̪ˈaʝn̪ʲə# | Rule 275 : [-stres,-lo,+syl] > ə / __ #
#plˌan̪t̪ˈaʝn̪ʲə̯# | Rule 283 : ə > ə̯ 
#plˌan̪t̪ˈaʝn̪ʲə# | Rule 289 : ə̯ > ə / [+stres] ( [-syl] )* [-son] [+cor,+son] __ 
#plˌan̪t̪ˈajn̪ʲə# | Rule 391 : ʝ > j 
#plˌan̪t̪ˈajn̪ə# | Rule 396 : {t̪ʲ;d̪ʲ;sʲ;zʲ;n̪ʲ;d͡zʲ} > {t̪;d̪;s;z;n̪;d͡z} / [+hi,+front,-syl] __ 
#plˌan̪t̪ˈaj̃n̪ə# | Rule 514 : j > j̃ / [+lo] __ [+nas,-syl]
#plˌãn̪t̪ˈãj̃n̪ə# | Rule 515 : [+lo] > [+nas,+son,0delrel] / __ [+nas,-syl]
#plˌãn̪t̪ˈɛ̃j̃n̪ə# | Rule 590 : [+lo,+nas] > [-lo,-tense,-cons,-lat,+cont,0delrel] / __ j̃
#plˌãn̪t̪ˈɛ̃n̪ə# | Rule 667 : j̃ > ∅ / [+nas,+front,-tense] __ 
#plˌãːt̪ˈɛ̃n̪ə# | Rule 670 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#plˌãːt̪ˈɛn̪ə# | Rule 686 : [+front,-lo,+nas,+syl] > [-nas] / __ [+nas,+cons] [-cons]
#plˌãːt̪ˈɛn̪ə̯# | Rule 710 : ə > ə̯ / __ #
#plˌɑ̃ːt̪ˈɛn̪ə̯# | Rule 717 : [+lo,+long,+syl] > [+back,-front] 
#plˌɑ̃ːt̪ˈɛn̪# | Rule 738 : ə̯ > ∅ 
#plɑ̃ːt̪ɛn̪# | Rule 755 : [+stres] > [-stres,-prim,+syl,+son,0delrel] 
#plɑ̃t̪ɛn̪# | Rule 756 : [+syl,+long] > [-long,-splng] 
