etID | Late Latin [REFERENCE] | Old French I [REFERENCE] | Old French II [REFERENCE] | Middle French  [REFERENCE]
0    | #mˈillɛ# [GOLD: Lexicon@1fb3ebeb] | #mˈil# [GOLD: Lexicon@548c4f57] | #mˈil# [GOLD: Lexicon@1218025c] | #mˈil# [GOLD: Lexicon@816f27d]
1    | #fˈin̪ɛ# [GOLD: Lexicon@1fb3ebeb] | #fˈin̪# [GOLD: Lexicon@548c4f57] | #fˈĩn̪# [GOLD: Lexicon@1218025c] | #fˈẽː# [GOLD: Lexicon@816f27d]
2    | #ˌespˈin̪ɑ# [GOLD: Lexicon@1fb3ebeb] | #ˌespˈin̪ə# [GOLD: Lexicon@548c4f57] | #ˌepˈĩn̪ə# [GOLD: Lexicon@1218025c] | #ˌepˈin̪ə# [GOLD: Lexicon@816f27d]
3    | #lˈin̪ʝɑ# [GOLD: Lexicon@1fb3ebeb] | #lˈiɲə# [GOLD: Lexicon@548c4f57] | #lˈĩɲə# [GOLD: Lexicon@1218025c] | #lˈiɲə# [GOLD: Lexicon@816f27d]
4    | #fˈilʝos# [GOLD: Lexicon@1fb3ebeb] | #fˈiʎt͡sʲ# [GOLD: Lexicon@548c4f57] | #fˈisʲ# [GOLD: Lexicon@1218025c] | #fˈis# [GOLD: Lexicon@816f27d]
5    | #mˈikɑ# [GOLD: Lexicon@1fb3ebeb] | #mˈiə# [GOLD: Lexicon@548c4f57] | #mˈiə# [GOLD: Lexicon@1218025c] | #mˈiː# [GOLD: Lexicon@816f27d]
6    | #βʷˌillˈɑn̪o# [GOLD: Lexicon@1fb3ebeb] | #vˌilˈãj̃n̪# [GOLD: Lexicon@548c4f57] | #vˌilˈɛ̃j̃n̪# [GOLD: Lexicon@1218025c] | #vˌilˈɛ̃ː# [GOLD: Lexicon@816f27d]
7    | #hˌiβˈɛrn̪o# [GOLD: Lexicon@1fb3ebeb] | #ˌivˈɛr# [GOLD: Lexicon@548c4f57] | #ˌivˈɛr# [GOLD: Lexicon@1218025c] | #ˌivˈɛr# [GOLD: Lexicon@816f27d]
8    | #cˌiŋkwˈɑn̪t̪ɑ# [GOLD: Lexicon@1fb3ebeb] | #t͡sʲˌiŋkwˈãn̪t̪ə# [GOLD: Lexicon@548c4f57] | #sʲˌĩŋkˈãn̪t̪ə# [GOLD: Lexicon@1218025c] | #sˌẽːkˈãːt̪ə# [GOLD: Lexicon@816f27d]
9    | #lˌimˈɑrɛ# [GOLD: Lexicon@1fb3ebeb] | #lˌimˈeːr# [GOLD: Lexicon@548c4f57] | #lˌĩmˈer# [GOLD: Lexicon@1218025c] | #lˌimˈer# [GOLD: Lexicon@816f27d]
