SYMB,syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,front,round,tense,rtr,long,splng,stres,prim
m̥,-,+,+,+,0,-,+,-,-,-,-,+,-,0,+,-,-,-,-,-,0,-,-,-,0,0
m̥ʲ,-,+,+,+,0,-,+,-,-,-,-,+,-,0,+,+,-,-,+,-,0,-,-,-,0,0
m,-,+,+,+,0,-,+,-,+,-,-,+,-,0,+,-,-,-,-,-,0,-,-,-,0,0
mʲ,-,+,+,+,0,-,+,-,+,-,-,+,-,0,+,+,-,-,+,-,0,-,-,-,0,0
mʷ,-,+,+,+,0,-,+,-,+,-,-,+,-,0,+,+,-,+,-,+,0,-,-,-,0,0
p,-,-,+,-,-,-,-,-,-,-,-,+,-,0,+,-,-,-,-,-,0,-,-,-,0,0
pʰ,-,-,+,-,-,-,-,-,-,+,-,+,-,0,+,-,-,-,-,-,0,-,-,-,0,0
pʲ,-,-,+,-,-,-,-,-,-,-,-,+,-,0,+,+,-,-,+,-,0,-,-,-,0,0
pʷ,-,-,+,-,-,-,-,-,-,-,-,+,-,0,+,+,-,+,-,+,0,-,-,-,0,0
b,-,-,+,-,-,-,-,-,+,-,-,+,-,0,+,-,-,-,-,-,0,-,-,-,0,0
bʰ,-,-,+,-,-,-,-,-,+,+,-,+,-,0,+,-,-,-,-,-,0,-,-,-,0,0
bʲ,-,-,+,-,-,-,-,-,+,-,-,+,-,0,+,+,-,-,+,-,0,-,-,-,0,0
bʷ,-,-,+,-,-,-,-,-,+,-,-,+,-,0,+,+,-,+,-,+,0,-,-,-,0,0
ɸ,-,-,+,+,0,-,-,-,-,-,-,+,-,0,+,-,-,-,-,-,0,-,-,-,0,0
ɸʲ,-,-,+,+,0,-,-,-,-,-,-,+,-,0,+,+,-,-,+,-,0,-,-,-,0,0
ɸʷ,-,-,+,+,0,-,-,-,-,-,-,+,-,0,+,+,-,+,-,+,0,-,-,-,0,0
β,-,-,+,+,0,-,-,-,+,-,-,+,-,0,+,-,-,-,-,-,0,-,-,-,0,0
βʲ,-,-,+,+,0,-,-,-,+,-,-,+,-,0,+,+,-,-,+,-,0,-,-,-,0,0
βʷ,-,-,+,+,0,-,-,-,+,-,-,+,-,0,+,+,-,+,-,+,0,-,-,-,0,0
ɱ,-,+,+,+,0,-,+,+,+,-,-,+,-,0,+,-,-,-,-,-,0,-,-,-,0,0
f,-,-,+,+,0,-,-,+,-,-,-,+,-,0,+,-,-,-,-,-,0,-,-,-,0,0
fʲ,-,-,+,+,0,-,-,+,-,-,-,+,-,0,+,+,-,-,+,-,0,-,-,-,0,0
fʷ,-,-,+,+,0,-,-,+,-,-,-,+,-,0,+,+,-,+,-,+,0,-,-,-,0,0
v,-,-,+,+,0,-,-,+,+,-,-,+,-,0,+,-,-,-,-,-,0,-,-,-,0,0
vʲ,-,-,+,+,0,-,-,+,+,-,-,+,-,0,+,+,-,-,+,-,0,-,-,-,0,0
ʋ,-,+,-,+,0,-,-,-,+,-,-,+,-,0,+,-,-,-,-,-,0,-,-,-,0,0
ʋʲ,-,+,-,+,0,-,-,-,+,-,-,+,-,0,+,+,-,-,+,-,0,-,-,-,0,0
ʋʷ,-,+,-,+,0,-,-,-,+,-,-,+,-,0,+,+,-,+,-,+,0,-,-,-,0,0
n̪,-,+,+,+,0,-,+,-,+,-,-,+,+,+,-,-,-,-,-,-,0,-,-,-,0,0
n̪ʲ,-,+,+,+,0,-,+,-,+,-,-,+,+,+,-,+,-,-,+,-,0,-,-,-,0,0
t̪,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,0,-,-,-,0,0
t̪ʰ,-,-,+,-,-,-,-,-,-,+,-,+,+,+,-,-,-,-,-,-,0,-,-,-,0,0
t̪ʲ,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,+,-,-,+,-,0,-,-,-,0,0
t̪ʷ,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,+,-,+,-,+,0,-,-,-,0,0
d̪,-,-,+,-,-,-,-,-,+,-,-,+,+,+,-,-,-,-,-,-,0,-,-,-,0,0
d̪ʰ,-,-,+,-,-,-,-,-,+,+,-,+,+,+,-,-,-,-,-,-,0,-,-,-,0,0
d̪ʲ,-,-,+,-,-,-,-,-,+,-,-,+,+,+,-,+,-,-,+,-,0,-,-,-,0,0
d̪ʷ,-,-,+,-,-,-,-,-,+,-,-,+,+,+,-,+,-,+,-,+,0,-,-,-,0,0
s̪,-,-,+,+,0,-,-,+,-,-,-,+,+,+,-,-,-,-,-,-,0,-,-,-,0,0
s̪ʷ,-,-,+,+,0,-,-,+,-,-,-,+,+,+,-,+,-,+,-,+,0,-,-,-,0,0
