Trajectory file for run 'ᵲun1'; etymon number :153:
#d̪ˈɑːmum# >>> #d̪ɛ̃# ( Correct : #d̪ɛ̃#) :
d̪ ˈɑː m u m 
#d̪ˈɑːmʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#d̪ˈɑmʊm# | Rule 56 : [+syl,+long] > [-long,-splng] 
#d̪ˈɑmom# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#d̪ˈɑmo# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#d̪ˈɑːmo# | Rule 111 : [+prim] > [+long] / __ [+cons] [-cons]
#d̪ˈaːmo# | Rule 197 : [+lo,+syl] > [+front,-back] 
#d̪ˈaːmə# | Rule 266 : [-stres,-lo,+syl] > ə / __ #
#d̪ˈaːmə̯# | Rule 268 : ə > ə̯ 
#d̪ˈaːm# | Rule 302 : ə̯ > ∅ 
#d̪ˈae̯m# | Rule 406 : {ˈaː;ˈeː;ˈoː;ˈɛː} > {ˈa e̯;ˈe j;ˈo w;ˈi e̯} 
#d̪ˈajm# | Rule 428 : e̯ > j / [+lo,+stres] __ [+nas,+cons,-hi]
#d̪ˈaj̃m# | Rule 491 : j > j̃ / [+lo,+syl] __ [+nas,-syl]
#d̪ˈãj̃m# | Rule 492 : [+lo,+syl] > [+nas,+son,.delrel] / __ [+nas,-syl]
#d̪ˈãj̃n̪# | Rule 522 : m > n̪ / [-cons] __ #
#d̪ˈɛ̃j̃n̪# | Rule 564 : [+lo,+nas] > [-lo,-tense,-cons,-lat,+cont,.delrel] / __ j̃
#d̪ˈɛ̃n̪# | Rule 626 : j̃ > ∅ / [+nas,+front,-tense] __ 
#d̪ˈɛ̃ː# | Rule 673 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ #
#d̪ɛ̃ː# | Rule 705 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#d̪ɛ̃# | Rule 706 : [+syl,+long] > [-long,-splng] 
